,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
8819,EL DORADO CHEMICAL CO,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000746373,33.265840000000004,-92.688678
11755,RANGER BOATS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000750161,36.28775,-92.598806
15905,BIG RIVER STEEL LLC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056033849,35.646028,-89.955333
14851,GREAT LAKES CHEMICAL - CENTRAL,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000451109,33.1831,-92.7069
4139,WHITE BLUFF GENERATING PLANT,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000451788,34.4231,-92.1398
5260,AMERICAN FUEL CELL,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070827798,33.27884,-93.246643
11860,"ANTHONY TIMBERLANDS, INC.",9,4.0,http://echo.epa.gov/detailed-facility-report?fid=110001710122,34.361791,-92.819304
17077,ACME BRICK CO PERLA,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000859893,34.365056,-92.780944
12677,LION OIL CO,7,,http://echo.epa.gov/detailed-facility-report?fid=110017419667,33.200091,-92.675095
7617,ANTHONY TIMBERLANDS INC,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110003398163,33.720776,-92.618066
133,FAYETTEVILLE GATHERING COMPANY - SHADY GROVE SECTION 17,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037575013,35.592703,-92.387342
15310,SAINT-GOBAIN PROPPANTS PROPPANTS PLANT 3,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001710890,34.583110999999995,-92.508833
4256,ASH GROVE CEMENT COMPANY FOREMAN CEMENT PLANT,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000597729,33.6936,-94.4166
16681,HIGHLAND PELLETS,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063025872,34.261935,-92.07136
12806,"AEROJET ROCKETDYNE, INC.",4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000859991,33.625353999999994,-92.689987
14210,JW ALUMINUM COMPANY,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110033003096,35.2651,-93.0821
9692,"SCHELL & KAMPETER, INC. - DIAMOND PET FOODS",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038102941,33.87736,-91.48945
9776,PLANTERS COTTON OIL,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045698330,34.224229,-91.968945
10486,GREAT LAKES CHEMICAL WEST PLANT,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043973910,33.183889,-92.937778
13945,"WELSPUN PIPES,LLC",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110032932325,34.69,-92.17
