REGISTRY_ID,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110037575013,FAYETTEVILLE GATHERING COMPANY - SHADY GROVE SECTION 17,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037575013,35.592703,-92.387342
110001710890,SAINT-GOBAIN PROPPANTS PROPPANTS PLANT 3,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001710890,34.583110999999995,-92.508833
110032932325,"WELSPUN PIPES,LLC",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110032932325,34.69,-92.17
110024983286,CRANFORD CONSTRUCTION CO.,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110024983286,34.566251,-92.495884
110067245779,"XTO ENERGY, INC. - HURRICANE NE COMMON POINT",3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110067245779,35.5212,-92.30004
110038458433,FAYETTEVILLE GATHERING COMPANY - BOYSCOUT BOARDWALK,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038458433,35.344315,-92.495719
110044301047,FAYETTEVILLE GATHERING COMPANY - BUCK RIDGE COMPRESSOR STATION,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110044301047,35.29899,-92.54916
110001700213,LITTLE ROCK CITY SW LANDFILL,3,,http://echo.epa.gov/detailed-facility-report?fid=110001700213,34.649167,-92.301639
110001711568,"POROCEL INDUSTRIES, LLC",1,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001711568,34.654111,-92.306083
110033594260,"MCGEORGE CONTRACTING CO., INC. - GRANITE MOUNTAIN QUARRIES PLANT I & II",1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110033594260,34.679743,-92.260362
110038525539,FAYETTEVILLE GATHERING COMPANY - OLIVER COMPRESSOR STATION,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110038525539,35.28455,-91.823334
110046328461,CRANFORD CONSTRUCTION,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110046328461,34.70511,-92.25424
110035822063,PPG INDUSTRIES,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110035822063,34.64375,-92.413389
110038458460,CADDIS CPF-2,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038458460,35.343509999999995,-92.41025
110069217788,ASPHALT PRODUCTS/PORT.PLANT #2,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069217788,34.66993,-92.2692
110001702453,"JASON INTERNATIONAL, INC.",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001702453,34.822018,-92.320913
110040995199,3M INDUSTRIAL MINERAL PRODUCTS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040995199,34.708919,-92.239492
110031104622,LM WINDPOWER BLADES (USA) INC.,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031104622,34.707028,-92.181917
110033131536,"DESOTO GATHEIRNG COMPANY, LLC - GRAVEL HILL CPF-2",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110033131536,35.4611,-92.6041
110000451467,ALCOA WORLD CHEMICALS,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000451467,34.57522,-92.53173000000001
