,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
5248,APACHE NITROGEN PRODUCTS INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017427033,31.88,-110.24
592,DRAKE CEMENT PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110046279647,34.9811,-112.376291
5297,MESA MATERIALS,12,,http://echo.epa.gov/detailed-facility-report?fid=110017398430,33.40663,-112.14166000000002
12976,ASARCO LLC HAYDEN OPERATIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110069332261,33.003378000000005,-110.77632
5745,MOHAVE VALLEY LANDFILL,4,,http://echo.epa.gov/detailed-facility-report?fid=110012625141,35.022772,-114.51315
9512,NUCOR STEEL KINGMAN LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000607264,35.142375,-114.08997
10806,SNOWFLAKE WHITE MOUNTAIN POWER PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031037759,34.51643,-110.11021
16363,AEPCO - APACHE GENERATING STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043804390,32.061505,-109.893974
49,TANGERINE LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110043797139,32.42113,-111.1872
54,SR 85 LANDFILL PUBLIC WORKS DEPT,0,,http://echo.epa.gov/detailed-facility-report?fid=110031036313,33.1898,-112.67612
57,YUMA REGIONAL MEDICAL CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110001695336,32.68319,-114.63323
102,IS DEVELOPMENT,0,,http://echo.epa.gov/detailed-facility-report?fid=110031036705,33.62887,-111.91254
114,MARICOPA READY MIX CONCRETE,0,,http://echo.epa.gov/detailed-facility-report?fid=110030916631,33.519940000000005,-111.92587
118,COCOPAH LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110062708789,32.6953,-114.669817
147,INSULFOAM,0,,http://echo.epa.gov/detailed-facility-report?fid=110017407055,33.43207,-112.13257
217,"DIGITAL REALTY TRUST CHANDLER, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110055586236,33.27428,-111.88906
337,MCCULLOCH CORP,0,,http://echo.epa.gov/detailed-facility-report?fid=110000472300,34.50088,-114.34799
347,AMES CONSTRUCTION ACI #1,0,,http://echo.epa.gov/detailed-facility-report?fid=110043575690,33.451082,-112.091204
386,FANN CONTRACTING ASPHALT PLANT HP04,0,,http://echo.epa.gov/detailed-facility-report?fid=110027215467,33.451082,-112.091204
462,MONTEREY HOMES,0,,http://echo.epa.gov/detailed-facility-report?fid=110007350142,33.225716,-111.796216
