,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
5557,COCONINO COUNTY - ENVIRONMENTAL HEALTH,5,,http://echo.epa.gov/detailed-facility-report?fid=110031375116,35.22436,-111.65688
14874,OGDENS CLEANERS,5,,http://echo.epa.gov/detailed-facility-report?fid=110005993559,35.195255,-111.63324
146,"DRG TECHNOLOGIES, INC.",3,,http://echo.epa.gov/detailed-facility-report?fid=110003411120,32.834978,-109.704666
893,FREEPORT MCMORAN SAFFORD,3,,http://echo.epa.gov/detailed-facility-report?fid=110037149519,32.958333,-109.675
2250,PAGE-TROWBRIDGE RANCH LANDFILL,3,,http://echo.epa.gov/detailed-facility-report?fid=110000907573,32.615142,-110.889156
7078,HERITAGE ENVIRONMENTAL SERVICES LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000608931,32.89398,-111.51158999999998
5250,CORDANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110061061292,35.196964,-111.62602
6949,COPPERSTATE FARMS MANAGEMENT,2,,http://echo.epa.gov/detailed-facility-report?fid=110070516269,34.518233,-110.103582
8801,COSTCO DRIVE @ THORNYDALE CROSSING LOTS 1-7,2,,http://echo.epa.gov/detailed-facility-report?fid=110015951451,32.327402,-111.048018
11398,"CELESTICA, LLC",2,,http://echo.epa.gov/detailed-facility-report?fid=110070244425,32.40775,-110.94436
14706,BRIGHT INTERNATIONAL CORP.,2,,http://echo.epa.gov/detailed-facility-report?fid=110031389726,32.967420000000004,-111.54292
15420,HEXCEL CORPORATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110070306790,32.87943,-111.771619
16980,TARGET STORE T0935,2,,http://echo.epa.gov/detailed-facility-report?fid=110024442806,35.18413,-111.66142
440,KREBS ENGINEERS,1,,http://echo.epa.gov/detailed-facility-report?fid=110039343626,32.3508,-111.08258
3544,"SENESTECH, INC",1,,http://echo.epa.gov/detailed-facility-report?fid=110044961789,35.2121,-111.59771
6647,"MARANA AEROSPACE SOLUTIONS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110045963846,32.518144,-111.343044
10730,"LOWE'S OF SHOW LOW, AZ #2833",1,,http://echo.epa.gov/detailed-facility-report?fid=110039447015,34.19582,-110.016513
12022,PPG PAINTS SOTRE #8376,1,,http://echo.epa.gov/detailed-facility-report?fid=110070206135,32.337509999999995,-111.05583500000002
13262,FLAGSTAFF MEDICAL CENTER,1,,http://echo.epa.gov/detailed-facility-report?fid=110001694550,35.20865999999999,-111.6452
13539,PPG INDUSTRIES INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110040891728,32.94577,-111.75973
