REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110055979455,COTTONWOOD WWTF,12,,http://echo.epa.gov/detailed-facility-report?fid=110055979455,34.72971,-112.043376
110017377113,TOWN OF FLORENCE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110017377113,33.0333,-111.4016
110010062644,PETRO STOPPING CENTER,10,,http://echo.epa.gov/detailed-facility-report?fid=110010062644,35.177192,-113.78643000000001
110010062314,APACHE JUNCTION WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110010062314,33.358022,-111.55484799999999
110011375136,KINGS RANCH - UNIT II WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110011375136,34.054645,-112.15812
110070133779,TOWN OF WICKENBURG - WWTP,9,,http://echo.epa.gov/detailed-facility-report?fid=110070133779,33.980712,-112.73800700000001
110009067035,ENTRADA DEL ORO,9,,http://echo.epa.gov/detailed-facility-report?fid=110009067035,33.313035,-111.36821
110010062582,SOFTWINDS MOBILE HOME PARK WASTEWATER TREATMENT PLANT,8,,http://echo.epa.gov/detailed-facility-report?fid=110010062582,34.529804,-112.23988500000002
110055979712,JEROME WWTF,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055979712,34.751323,-112.116491
110058917739,EVOQUA WATER TECHNOLOGIES,7,,http://echo.epa.gov/detailed-facility-report?fid=110058917739,34.131357,-114.27358100000001
110022853465,HOUSTON CREEK LANDING - WWTP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022853465,34.24805,-111.24981000000001
110009000641,BLACK CANYON RANCH RV RESORT WWTP,6,,http://echo.epa.gov/detailed-facility-report?fid=110009000641,34.071501,-112.15241
110045293035,CITY OF KINGMAN - DOWNTOWN POND,6,,http://echo.epa.gov/detailed-facility-report?fid=110045293035,35.250044,-113.978977
110006785381,JOINT VENTURE WWTF,6,,http://echo.epa.gov/detailed-facility-report?fid=110006785381,34.1433,-114.3086
110015932669,GAMBEL QUAIL MOBILE HOME AND RV PARK,5,,http://echo.epa.gov/detailed-facility-report?fid=110015932669,34.55115,-112.42528999999999
110015944077,"KINGMAN, CITY OF - HILLTOP WWTP",5,,http://echo.epa.gov/detailed-facility-report?fid=110015944077,35.296455,-113.93500800000001
110010062519,VIRGIN RIVER DWID WWTP,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010062519,34.77571,-112.04473999999999
110000508530,AMERICAN GULCH WASTEWATER TREATMENT PLANT,3,,http://echo.epa.gov/detailed-facility-report?fid=110000508530,34.286056,-111.359778
110006891569,USDOI FWS - WILLOW BEACH NATL FISH HATCHERY,2,,http://echo.epa.gov/detailed-facility-report?fid=110006891569,35.860997,-114.65084499999999
110010062528,"QUARTZSITE, TOWN OF - WWTP",2,,http://echo.epa.gov/detailed-facility-report?fid=110010062528,33.7083,-114.2206
