,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
166622,KERN OIL & REFINING CO,12,170.0,http://echo.epa.gov/detailed-facility-report?fid=110000481611,35.295278,-118.921111
53952,CHEVRON RICHMOND REFINERY,12,150.0,http://echo.epa.gov/detailed-facility-report?fid=110020506460,37.938779,-122.396453
38956,CHEVRON USA INC- HEAVY OIL,12,96.0,http://echo.epa.gov/detailed-facility-report?fid=110001186350,35.154836,-119.458795
147246,OCCIDENTAL OF ELK HILLS INC (FORMER NAVAL PETROLEUM RESERVE),12,83.0,http://echo.epa.gov/detailed-facility-report?fid=110000757645,35.23893,-119.35951
44656,"VINTAGE PETROLEUM, INC",12,63.0,http://echo.epa.gov/detailed-facility-report?fid=110010319538,35.079643,-119.186592
147414,PACIFIC ETHANOL MADERA LLC,12,63.0,http://echo.epa.gov/detailed-facility-report?fid=110027254986,36.92327,-119.97549
58852,ARCO OIL AND GAS COMPANY,12,58.0,http://echo.epa.gov/detailed-facility-report?fid=110013945874,35.36635,-119.05255
137433,SENTINEL PEAK RESOURCES CA LLC,12,54.0,http://echo.epa.gov/detailed-facility-report?fid=110010319690,35.379041,-119.022445
104082,AERA ENERGY BELRIDGE,12,45.0,http://echo.epa.gov/detailed-facility-report?fid=110043799752,35.45306,-119.719337
14752,"SHELL OIL PRODUCTS, MARTINEZ REFINERY",12,37.0,http://echo.epa.gov/detailed-facility-report?fid=110000483245,38.016594,-122.115392
22468,GALLO GLASS CO,12,34.0,http://echo.epa.gov/detailed-facility-report?fid=110000485270,37.630957,-120.97472
94033,E & J GALLO WINERY,12,28.0,http://echo.epa.gov/detailed-facility-report?fid=110000485154,37.381463,-120.805985
18193,BERRY PETROLEUM COMPANY,12,27.0,http://echo.epa.gov/detailed-facility-report?fid=110010483299,35.119446,-119.455055
129975,J R SIMPLOT CO LATHROP,12,18.0,http://echo.epa.gov/detailed-facility-report?fid=110000485109,37.80705800000001,-121.277465
41195,MACPHERSON OIL CO - HEAVY OIL,12,15.0,http://echo.epa.gov/detailed-facility-report?fid=110010481950,35.491718,-118.934479
98517,LEHIGH SOUTHWEST CEMENT COMPANY,12,15.0,http://echo.epa.gov/detailed-facility-report?fid=110000484039,37.3181,-122.091
41522,HECK CELLARS WINERY,12,14.0,http://echo.epa.gov/detailed-facility-report?fid=110018957645,35.2575,-118.829722
24584,WEST VENTURES LLC,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110058904299,35.321213,-119.018292
144456,BELRIDGE GAS PROCESSING PLANT AND COGEN FACILITY,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110012694664,35.474361,-119.757778
166681,"MOUREN FAMILY FARMS, INC",12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110040489628,36.25521,-120.16112
