,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
49019,JACKSON WWTP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110011373637,38.3333,-120.7833
117404,ALISO CREEK OCEAN OUTFALL,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000914333,33.466574,-117.685766
165469,MT. SHASTA WWTP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110006657411,41.27777800000001,-122.31375
32588,AMERICAN VALLEY CSD,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110013154692,39.95115,-120.93763
85450,SOUTH SAN LUIS OBISPO SD WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000730629,35.102090000000004,-120.62509
111252,SEELEY COUNTY WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006657554,32.7958,-115.6957
167137,DISCOVERY BAY WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001103911,37.894722,-121.587222
47610,CITY OF TRACY WASTE WATER TREATMENT PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000521524,37.765556,-121.420833
127808,VENTURA WATER RECLAMATION FACILITY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000514346,34.242342,-119.260612
145301,CLOVIS SEWAGE TREATMENT AND WATER REUSE FACILITY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110035769585,36.79385,-119.61344
668,CENTRAL METAL INC.,13,,http://echo.epa.gov/detailed-facility-report?fid=110066264633,34.016833,-118.239645
1674,J  M RECYCLING INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070091855,38.58727,-121.53816
4870,VW AUTO INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070088497,34.19395,-118.36751
6207,GEIGER PLASTICS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070090347,33.88536,-118.27074
8705,LACDPW - BRACKETT AIRPORT,13,,http://echo.epa.gov/detailed-facility-report?fid=110070410212,34.09101,-117.7804
9952,LIVE OAK ESTATES,13,,http://echo.epa.gov/detailed-facility-report?fid=110070092501,38.27461,-121.32829
10200,H&M AUTO PARTS,13,,http://echo.epa.gov/detailed-facility-report?fid=110070097129,38.57581,-121.26071
11826,ARYZTA LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070088960,37.97156,-121.24465
13817,UNICAL AVIATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110070096300,34.00546,-117.85363999999998
13992,FULLERTON JOINT UNION HIGH SCHOOL DISTRICT,13,,http://echo.epa.gov/detailed-facility-report?fid=110070089258,33.91939,-117.94003
