,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
137855,"RHO-CHEM, LLC",12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000475030,33.95785,-118.37533
117171,TORRANCE REFINING COMPANY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110069359063,33.854966999999995,-118.336907
124030,QUEMETCO INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000609707,34.025026000000004,-117.98347
25291,US BATTERY MFG CO,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000862371,33.878820000000005,-117.53458
47262,BODYCOTE THERMAL PROCESSING,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000474816,33.982040000000005,-118.20488
60780,ELECTRODE TECHNOLOGIES INC DBA REID METAL FINISHING,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000831137,33.72026,-117.911024
105409,"AVIATION EQUIPMENT, INC.",12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002925452,33.701983,-117.922627
105972,PROCESSES BY MARTIN INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000474852,33.92235,-118.22406
117821,A & C ELECTRONICS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000782635,34.22645,-118.52923
118073,"CLEAN HARBORS BUTTONWILLOW, LLC",12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000500912,35.403061,-119.615756
131142,BRASSTECH INC - CARNEGIE,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017215912,33.70895,-117.84118
145196,INDUSTRIAL WASTE UTILIZATION,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000609949,34.05983,-117.682993
153264,NAVAL AIR WEAPONS STATION CHINA LAKE,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000511456,35.66900000000001,-117.671
172139,PHILLIPS 66 - SAN FRANCISCO REFINERY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000483487,38.0436,-122.2532
176108,COAST PLATING INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040883470,33.88281,-118.2808
44,IT CORPORATION - VINE HILL COMPLEX,12,,http://echo.epa.gov/detailed-facility-report?fid=110013938855,38.01941,-122.08453
1799,"WHITING ENTERPRISES, INC DBA HI TECH METAL POLISHING",12,,http://echo.epa.gov/detailed-facility-report?fid=110012230380,33.94409,-118.05975
2413,LAIRD COATINGS CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110001175709,33.73635,-118.03118
2545,MURRIETTA CIRCUITS,12,,http://echo.epa.gov/detailed-facility-report?fid=110032642228,33.86189,-117.80885
3135,"UNITED AIRLINES, SF MAINTENANCE CENTER",12,,http://echo.epa.gov/detailed-facility-report?fid=110008261585,37.633454,-122.397961
