,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
7218,BURBANK PLATING SERVICES CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000476841,34.27517,-118.42789
19568,R L ANODIZING AND PLATING INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110002919682,34.22408,-118.37841
29035,CALIFORNIA TECHNICAL PLATING CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000782706,34.27948,-118.42946
113201,AMERICAN OIL COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110042271635,34.217766999999995,-118.452157
24394,KLUNE INDUSTRIES,5,,http://echo.epa.gov/detailed-facility-report?fid=110002893192,34.203717,-118.4138
156519,ELECTROMATIC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000477190,34.20455,-118.39217
142813,MSAEROSPACE,2,,http://echo.epa.gov/detailed-facility-report?fid=110020574270,34.32307,-118.49065
158734,PACIFIC PLATING,2,,http://echo.epa.gov/detailed-facility-report?fid=110056112308,34.25393,-118.39816
155909,M&R PLATING CORPORATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070096355,34.254013,-118.403226
42260,PHOTO FABRICATORS INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000477109,34.20993,-118.46293
161712,FRANCISCO JAVIER PENA GONZALEZ BROS TRUCKING,1,,http://echo.epa.gov/detailed-facility-report?fid=110037380205,34.23076,-118.42994
173898,AVIBANK MANUFACTURING INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002419945,34.201190000000004,-118.38176
512,E W BARTON CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110002692024,34.28205,-118.43097
747,HEMATOLOGY ONCOLOGY CONSULTANTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002834871,34.19547,-118.4662
863,ANZALONE & ASSOC INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110002796715,34.1649,-118.36746
875,CASTLE PRECISION INDUSTRIES,0,,http://echo.epa.gov/detailed-facility-report?fid=110002628960,34.30712,-118.46327
1205,DYNAMO AVIATION INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110065625513,34.22292,-118.49853
1679,LONDON PRESS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002709025,34.203309999999995,-118.42253999999998
2024,LAUSD--MONROE HS,0,,http://echo.epa.gov/detailed-facility-report?fid=110021541063,34.23605,-118.47633
2064,BEVERLY HILLS TRANSFER & STG,0,,http://echo.epa.gov/detailed-facility-report?fid=110002785120,34.203469,-118.387792
