,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
158410,NEW ERA METALS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070093973,33.77101,-116.97445
183710,DESERT RECYCLING INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070089189,33.84965,-116.38821000000002
24205,WATER RECLAMATION PLANT NO. 4,11,,http://echo.epa.gov/detailed-facility-report?fid=110000761532,33.591916999999995,-116.121703
29845,HENRY N. WOCHHOLZ WASTEWATER TREATMENT FACILITY,9,,http://echo.epa.gov/detailed-facility-report?fid=110000519314,34.00398,-117.063109
20202,ARCO AMPM,7,,http://echo.epa.gov/detailed-facility-report?fid=110012189817,33.84535,-116.45833
26802,CHRIST LUTHERAN CHURCH,7,,http://echo.epa.gov/detailed-facility-report?fid=110070091229,33.96151,-116.5345
50971,PALM DESERT ROCK AND SAND,7,,http://echo.epa.gov/detailed-facility-report?fid=110070091493,33.744,-116.15434
52734,INDIO AMPM,7,,http://echo.epa.gov/detailed-facility-report?fid=110070091914,33.7454,-116.2143
84512,ARRIVE HOTEL,7,,http://echo.epa.gov/detailed-facility-report?fid=110070092899,33.844125,-116.547228
110413,WESTWIND WIND ENERGY PROJECT,7,,http://echo.epa.gov/detailed-facility-report?fid=110070092929,33.9458,-116.5692
147131,STAYBRIDGE AT LANTANA,7,,http://echo.epa.gov/detailed-facility-report?fid=110070090886,33.8305,-116.45745
147329,ARCO AM/PM  #83022,7,,http://echo.epa.gov/detailed-facility-report?fid=110066338948,33.70003,-116.19154
150692,COACHELLA GAS TURBINE PLANT,7,,http://echo.epa.gov/detailed-facility-report?fid=110070089198,33.675343,-116.171919
168816,SAINT ANTHONY MHP,7,,http://echo.epa.gov/detailed-facility-report?fid=110070093017,33.61883,-116.01025
173608,CALIFORNIA AQUATIC FARM,7,,http://echo.epa.gov/detailed-facility-report?fid=110070094335,33.6134,-116.0617
8833,COACHELLA SD WWTP,5,,http://echo.epa.gov/detailed-facility-report?fid=110000730834,33.65663,-116.14492
64767,PALM SPRINGS RECYCLING,5,,http://echo.epa.gov/detailed-facility-report?fid=110070089191,33.78276,-116.46804
72159,EDELBROCK FOUNDRY CORP,5,,http://echo.epa.gov/detailed-facility-report?fid=110002415752,33.77438,-116.96763
117877,SPATES FABRICATORS INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110066442497,33.560759999999995,-116.173
38703,SUMMERWIND RANCH,4,,http://echo.epa.gov/detailed-facility-report?fid=110070091576,33.9651,-117.03901
