,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
180177,DESERT HOSPITAL,3,,http://echo.epa.gov/detailed-facility-report?fid=110021313826,33.8384,-116.5456
265,DIAMOND VALLEY HONDA,0,,http://echo.epa.gov/detailed-facility-report?fid=110022432287,33.743245,-117.029873
519,DICK BRETZ TOYOTA,0,,http://echo.epa.gov/detailed-facility-report?fid=110005994914,33.7149,-116.20902
1651,BETANCOURT ULTRAMAR,0,,http://echo.epa.gov/detailed-facility-report?fid=110066646295,33.74964,-116.97137
2124,LENSCRAFTERS #1038,0,,http://echo.epa.gov/detailed-facility-report?fid=110055742745,33.74668,-117.01012
2246,VALLEY BLOCK CO INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110063925490,33.73475,-116.21598
2939,MEADERS CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002734097,33.833123,-116.54678
3365,MISSION HILLS CLEANERS  FRANK,0,,http://echo.epa.gov/detailed-facility-report?fid=110009552162,33.786190000000005,-116.40606
3455,JULES AUTO SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110002892852,33.743326,-116.358587
3764,IDYLLWILD ARTS FOUNDATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110065769323,33.73316,-116.74735
4357,WALGREENS #5038,0,,http://echo.epa.gov/detailed-facility-report?fid=110062908536,33.74687,-116.98865
4519,MISSION LAKES COUNTRY CLUB,0,,http://echo.epa.gov/detailed-facility-report?fid=110065258438,33.98099000000001,-116.53191
5262,CONOCO PHILLIPS SITE NO 0049,0,,http://echo.epa.gov/detailed-facility-report?fid=110002927673,33.60515,-114.59941
5469,VISTA PAINT CORPORATION #52,0,,http://echo.epa.gov/detailed-facility-report?fid=110055740658,33.74715,-116.97146
6432,TRAILER PRODUCTS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110037981501,33.763870000000004,-116.96747
6659,STATER BROS MARKETS # 121,0,,http://echo.epa.gov/detailed-facility-report?fid=110055706847,33.77237,-116.95675
7103,WASHINGTON CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110066139823,33.8014,-116.39103
8392,RITE AID #6486,0,,http://echo.epa.gov/detailed-facility-report?fid=110055761983,33.80245,-116.97282
8952,TARGET STORE T0940,0,,http://echo.epa.gov/detailed-facility-report?fid=110042160737,33.72521,-116.40055
9845,ROBERTSON'S READY MIX,0,,http://echo.epa.gov/detailed-facility-report?fid=110055689376,33.768933000000004,-116.971853
