,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
6207,GEIGER PLASTICS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070090347,33.88536,-118.27074
14014,DURHAM TRANS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070088389,33.880340000000004,-118.26483
15563,LEYVA TOP LINE RECYCLING CENTER,13,,http://echo.epa.gov/detailed-facility-report?fid=110070096351,33.85892,-118.16797
94878,UNIVERSAL MOLDING CO INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110055757685,33.93677,-118.22231
110833,CARSON COGENERATION CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110070088505,33.87592,-118.24881
155905,MAGNESIUM ALLOY PRODUCT CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110001200593,33.91422,-118.22273
163428,RJS CHIPPING  GRINDING,13,,http://echo.epa.gov/detailed-facility-report?fid=110070091353,33.88559,-118.27967
173882,ALL JAPANESE AUTO WRECKING SERVICES INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070088343,33.96017,-118.23288
20979,TERMINAL ISLAND TREATMENT PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000526529,33.74532,-118.261
35615,IPS CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110070095019,33.87453,-118.25003
38244,ADVANEX AMERICA METAL STAMPING,12,,http://echo.epa.gov/detailed-facility-report?fid=110070086587,33.850621999999994,-118.218746
38578,4 JS AUTO DISMANTLING,12,,http://echo.epa.gov/detailed-facility-report?fid=110070093885,33.79023,-118.23991
60463,ANACOSTIA RAIL HOLDINGS,12,,http://echo.epa.gov/detailed-facility-report?fid=110070093608,33.78085,-118.24175
76578,PHILLIPS 66 COMPANY LOS ANGELES MARINE TERMINAL,12,,http://echo.epa.gov/detailed-facility-report?fid=110070094502,33.755569,-118.272622
77589,BNSF RAILWAY WATSON,12,,http://echo.epa.gov/detailed-facility-report?fid=110070088251,33.79591,-118.253922
87778,MILLENNIUM MARITIME INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070094590,33.766741,-118.260097
112557,SHORELINE AUTO WRECKING,12,,http://echo.epa.gov/detailed-facility-report?fid=110070091380,33.7827,-118.23893
115483,VEGEMIST/ALCO DESIGNS,12,,http://echo.epa.gov/detailed-facility-report?fid=110065876644,33.89376,-118.26949
120260,24 AUTO SALVAGE AND PARTS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070096505,33.78986,-118.24041
123042,THE FOAM FACTORY INC.,12,,http://echo.epa.gov/detailed-facility-report?fid=110070086586,33.872438,-118.21479
