,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
74217,SCHMITT CONSTRUCTION,12,,http://echo.epa.gov/detailed-facility-report?fid=110010677892,38.54814,-121.4147
129707,SILGAN CAN CO - CAMPBELL'S SOUP,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000744240,38.510556,-121.467222
60936,UCD MEDICAL CENTER,2,,http://echo.epa.gov/detailed-facility-report?fid=110001196125,38.550955,-121.4509
14676,PROCTER AND GAMBLE MANUFACTURING COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110017423448,38.527079,-121.401445
78895,STATE OF CALIF GS,1,,http://echo.epa.gov/detailed-facility-report?fid=110001189605,38.573924,-121.501817
25494,DUGHAITION DEPORT,0,,http://echo.epa.gov/detailed-facility-report?fid=110037091358,38.72135,-121.32755
28838,DOME PRINTING & LITHOGRAPH,0,,http://echo.epa.gov/detailed-facility-report?fid=110001193985,38.59986,-121.46037
37903,CONSOLIDATED WESTERN CONTRACTORS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110062713452,38.65402,-121.47245
39932,TREASURE CHEST AD COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001200316,38.57324000000001,-121.54622
40900,J  W AUTO WRECKERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110037091394,38.71751,-121.32748
63246,CONTINENTAL STORE FIXTURES,0,,http://echo.epa.gov/detailed-facility-report?fid=110001189721,38.639301,-121.456909
95505,SCA COGENERATION PROJECT,0,,http://echo.epa.gov/detailed-facility-report?fid=110000520614,38.530841,-121.401669
107907,CHEVRON TERMINAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110018948950,38.56805,-121.51282
112425,MICHAEL'S CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110001170526,38.52138,-121.37584
113269,VALSPAR COATINGS,0,,http://echo.epa.gov/detailed-facility-report?fid=110020517528,38.529505,-121.399038
126300,PARC SPECIALTY CONTRACTORS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002373547,38.60865,-121.43391
128644,APPLIANCE DISTRIBUTORS,0,,http://echo.epa.gov/detailed-facility-report?fid=110006363238,38.57678,-121.55361
131744,VICTORY AUTO DISMANTLER,0,,http://echo.epa.gov/detailed-facility-report?fid=110024265613,38.58463,-121.55018
134065,EQUILON TERMINAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110002334518,38.57101,-121.5208
145005,EUROSTAR AUTO DISMANTLER,0,,http://echo.epa.gov/detailed-facility-report?fid=110037091401,38.58451,-121.55071
