,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
32276,HOLT'S GUEST RANCH WWTW,13,5.0,http://echo.epa.gov/detailed-facility-report?fid=110038448640,38.81188,-106.53239
30011,LAKESIDE WWTF,13,4.0,http://echo.epa.gov/detailed-facility-report?fid=110020527143,37.35838,-108.53077
50325,"NEW ELK COAL COMPANY, LLC",13,4.0,http://echo.epa.gov/detailed-facility-report?fid=110002051163,37.14532,-105.03393
32043,GOLDEN WONDER MINE,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110064611647,38.00337,-107.28327
36255,HOGUE RIVER PIT,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110006782605,40.500365,-106.930136
40749,IDAHO SPRINGS CITY OF,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110006781205,39.74285,-105.49113
43002,BOWIE NO 2 MINE,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110008061088,38.93268,-107.54603
53165,LONDON MINE EXTENSION TUNNEL,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110002041460,39.273,-106.145
30927,VISTA VERDE VILLAGE,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110020730725,37.35071,-108.53338
36491,BROADMOOR PARK PROPERTIES,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110023136783,38.71245,-104.82569
43161,MILLIKEN REVERSE OSMOSIS WTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110030759560,40.31937,-104.86397
44240,RUBY TRUST MINE,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010053761,37.982556,-107.761361
55758,MILLIKEN SANITATION DISTRICT,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010053280,40.33368,-104.83769
2324,NATURITA WWTF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010054127,38.223056,-108.604722
5135,SWIFT BEEF - LONE TREE,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002041095,40.425,-104.591667
7730,PAGELS TRAILER PARK,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037263813,40.234722,-103.7875
9066,ANTONITO TOWN OF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006781198,37.075,-106.0
13900,ILES DOME UNIT PRODUCTION,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010054421,40.306667,-107.688333
17930,SAGE CREEK MINE COMPLEX,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064612272,40.443861,-107.138583
23718,LITTLE MAC WTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006781802,39.90133,-105.7954
