,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
7719,DCP OPERATING CO - ENTERPRISE C.S.,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110010437884,40.190563,-104.488525
26676,DENVER REGIONAL LANDFILL,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110001391690,40.024535,-105.027726
42580,KMCGEE FT LUPTON/PLATTE VALLEY/LANCASTER,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110002052974,40.142887,-104.751569
36112,MEWBOURN GAS PLANT,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110010691750,40.266583,-104.734944
19215,DUKE ENERGY - LADDER CREEK HELIUM PLANT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110022510754,38.79957,-102.39433
27319,ROGGEN GAS PLANT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110015910031,40.117556,-104.387444
64096,NOBLE ENERGY - WELLS RANCH 35 ECONODE,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110064530752,40.442843,-104.393154
20297,KERR-MCGEE GATHERING - FREDERICK CS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001972349,40.056793,-104.883713
21251,CO RIVER DEVCO  - WELLS RANCH CPF,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064528729,40.477343,-104.430277
26027,NOBLE ENERGY-WELLS RANCH AE 30 ECONODE,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064736451,40.45766,-104.354908
7341,KERR-MCGEE - HUDSON COMPRESSOR STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110001972615,40.118324,-104.638756
15243,EQUINIX LLC - VDC I LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110002375689,39.56056,-104.85887
30028,PUBLIC SERVICE COMPANY OF COLORADO PAWNEE STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000600234,40.220084,-103.678999
32272,"DCP MIDSTREAM, LP - KIRKMEYER",12,,http://echo.epa.gov/detailed-facility-report?fid=110007350963,40.017727,-104.93546299999998
37404,MULL DRILLING CO INC SORRENTO FIELD,12,,http://echo.epa.gov/detailed-facility-report?fid=110001431308,38.8642,-102.90445
44103,DCP OPERATING CO - MARLA C.S.,12,,http://echo.epa.gov/detailed-facility-report?fid=110009352048,40.276608,-104.547379
56593,LAMAR UTILITIES BOARD,12,,http://echo.epa.gov/detailed-facility-report?fid=110001430997,38.09047,-102.61535
20811,DCP MIDSTREAM - LUCERNE GAS PLANT,11,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000514523,40.457201,-104.664686
15319,CUB CREEK ENERGY - MARKHAM PAD,9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070507234,40.268902,-105.02321299999998
60838,OWENS-BROCKWAY GLASS - WINDSOR #28,2,5.0,http://echo.epa.gov/detailed-facility-report?fid=110022881461,40.45086,-104.91398
