,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3027,CASTLE ROCK CARE CENTER,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064377286,39.420892,-104.86731100000002
36811,TOLMAR,3,,http://echo.epa.gov/detailed-facility-report?fid=110055216207,40.46665,-104.89184
44864,CLEAN HARBORS DEER TRAIL LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110060947329,39.739943,-103.708304
55082,APPLEWOOD LIVING CENTER,3,,http://echo.epa.gov/detailed-facility-report?fid=110064018218,40.18222,-105.12197
14658,TREND TECHNOLOGIES INC COLORADO DIV,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009565390,40.15874,-105.10882
625,THE HOME DEPOT - 1521,2,,http://echo.epa.gov/detailed-facility-report?fid=110014376022,40.154878,-105.130689
42590,TREEHOUSE BIOTECH,2,,http://echo.epa.gov/detailed-facility-report?fid=110070124799,40.207637,-104.972754
44265,"SUN MOUNTAIN, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110002004919,40.3378,-104.9879
59030,CARMAX AUTO SUPERSTORES-PARKER #6010,2,,http://echo.epa.gov/detailed-facility-report?fid=110063754922,39.562197,-104.783861
59267,CIRCUITS WEST INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110035442955,40.15377,-105.12138
61700,BOULDER SCIENTIFIC COMPANY,2,,http://echo.epa.gov/detailed-facility-report?fid=110022514108,40.14398,-104.97666
18383,FLORIDA CIRTECH INC.,1,,http://echo.epa.gov/detailed-facility-report?fid=110023151088,40.44874,-104.6993
19183,"HIGH COUNTRY MILLWORK, LLC - LONGMONT",1,,http://echo.epa.gov/detailed-facility-report?fid=110009557256,40.14398,-104.97877
24253,UNITED PARCEL SERVICE,1,,http://echo.epa.gov/detailed-facility-report?fid=110002999612,39.56166,-104.8377
28092,GOLDEN ALUMINUM,1,,http://echo.epa.gov/detailed-facility-report?fid=110000467539,40.09581,-104.80277
33020,CARESTREAM HEALTH COLORADO,1,,http://echo.epa.gov/detailed-facility-report?fid=110031306272,40.45839,-104.87418999999998
33327,OWENS ILLINOIS PLANT 28,1,,http://echo.epa.gov/detailed-facility-report?fid=110046291464,40.463888,-104.853611
44585,LOWES OF PARKER CO #1755,1,,http://echo.epa.gov/detailed-facility-report?fid=110070431095,39.53565,-104.77456
47391,VESTAS BLADES AMERICA INC WINDSOR,1,,http://echo.epa.gov/detailed-facility-report?fid=110038894774,40.46146,-104.84669
48241,CLEAN HARBORS ENVIRONMENTAL SERVICES,1,,http://echo.epa.gov/detailed-facility-report?fid=110000910809,40.658942,-103.177005
