,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
35968,HOLCIM (US) INC. PORTLAND PLANT,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000600289,38.386367,-105.017688
27540,FOUNTAIN LANDFILL,12,,http://echo.epa.gov/detailed-facility-report?fid=110001389943,38.694,-104.65655
28950,AUSCO PETROLEUM - ELLIOT NESS 22-17 PAD,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110061069392,38.396179,-105.1365
24,SINTON DAIRY FOODS COMP LLC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000467726,38.885997,-104.832955
5408,AUSCO PETROLEUM - SWORDFISH WELL PAD,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110061069365,38.349721,-105.159503
12891,AUSCO PETROLEUM - BUCK GARRETT 12-9 PAD,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056286665,38.413286,-105.123174
19862,AUSCO - TRIGGER/TRUMPETFISH 22-31 PAD,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110061069347,38.354281,-105.156147
31915,AUSCO PETROLEUM - MACKINAW / KING 12-28,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056286656,38.36819000000001,-105.122296
32729,NORTH CIRCLE CLNRS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000738079,38.85782800000001,-104.775766
36824,BUTALA CONSTRUCTION -  BUTALA GRAVEL PIT,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064325029,38.553062,-106.020559
20733,AUSCO PETROLEUM - DOLLY VARDEN 41-20 PAD,1,,http://echo.epa.gov/detailed-facility-report?fid=110061069383,38.385809,-105.127316
25224,AUSCO PETROLEUM - PATHFINDER #2 PROD FAC,1,,http://echo.epa.gov/detailed-facility-report?fid=110064525321,38.35439,-105.15307
29456,AUSCO PETROLEUM - LAKE/PAIUTE 34-29 PAD,1,,http://echo.epa.gov/detailed-facility-report?fid=110064522280,38.361404,-105.133021
32856,COLORADO SPRINGS UTILITIES HANNA RANCH,1,,http://echo.epa.gov/detailed-facility-report?fid=110001965393,38.614392,-104.678649
7156,COLORADO SPRINGS UTILITIES - NIXON PLT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000467646,38.633444,-104.707806
8662,"COLO DEPT OF CORRECTIONS - CTCF,CTA",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064161874,38.437778,-105.249722
11447,COLORADO SPRINGS UTILITIES - MARTIN DRAKE POWER PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009559637,38.8244,-104.8331
17596,A & S CONSTRUCTION CO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110014399114,38.41862,-105.17803
23377,STRESSCON CORP,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001430924,38.78239600000001,-104.765761
32046,A&S CONSTRUCTION CO. - CRUSHER #2,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063902674,38.41862,-105.17803
