,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
76,CENTRAL AUTO PARTS,13,,http://echo.epa.gov/detailed-facility-report?fid=110063016025,39.805604,-105.017317
639,GOLDEN CITY OF,13,,http://echo.epa.gov/detailed-facility-report?fid=110020527134,39.759972,-105.217139
2308,WR ROCKY II DBA PRO-TECH POWDER COATING,13,,http://echo.epa.gov/detailed-facility-report?fid=110038444706,39.736551,-105.125768
3212,JIM'S USED TOYOTA TRUCK PARTS,13,,http://echo.epa.gov/detailed-facility-report?fid=110056989371,39.82204,-104.95553
11496,QUALITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110055623151,39.87368,-104.87399
12311,DENVER HAULING,13,,http://echo.epa.gov/detailed-facility-report?fid=110046324839,39.796388,-104.9675
15727,DEXTER SITE LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110046292864,39.80399,-104.93192
17345,COLORADO ASPHALT SERVICES INC-PORT CRUSH,13,,http://echo.epa.gov/detailed-facility-report?fid=110038455070,39.79829,-104.94264
17929,WESTERN AUTO RECYCLING COMMERCE CITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110023055290,39.83323,-104.91729
20711,OWENS CORNING - TRUMBULL ASPHALT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110011372184,39.79141,-104.98901
21559,EVRAZ NORTH AMERICA DENVER,13,,http://echo.epa.gov/detailed-facility-report?fid=110055623133,39.79826,-104.95944
29023,ROCKY MOUNTAIN METAL ENDS,13,,http://echo.epa.gov/detailed-facility-report?fid=110046299938,39.77833,-105.175
31771,RINKER MATERIALS HYDRO CONDUIT,13,,http://echo.epa.gov/detailed-facility-report?fid=110022811867,39.85379,-104.9543
35773,ROCKY MOUNTAIN TRANSLOAD INC.,13,,http://echo.epa.gov/detailed-facility-report?fid=110001433235,39.83052,-104.913
37189,CLARK'S WESTERN AUTO RECYCLING,13,,http://echo.epa.gov/detailed-facility-report?fid=110023055138,39.80695,-105.0253
37308,SHAMROCK FOODS COMPANY,13,,http://echo.epa.gov/detailed-facility-report?fid=110011671468,39.78907,-104.91992
41364,WEST PLANT 11,13,,http://echo.epa.gov/detailed-facility-report?fid=110054118469,39.798947,-105.05308
45679,G T I HENDERSON TERMINAL,13,,http://echo.epa.gov/detailed-facility-report?fid=110046297725,39.8855,-104.873611
48118,ZIMMERMAN METALS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110002461522,39.80285,-104.9852
52207,"OMEGA PRODUCTS INTERNATIONAL, INC.",13,,http://echo.epa.gov/detailed-facility-report?fid=110038525566,39.80818,-104.93188
