,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
13734,CLEAN HARBORS OF CT  FIELD SERVICES,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110002083478,41.652505,-72.90815500000002
8695,NYLO METAL FINISHING LLC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110016682981,41.56245,-73.03294
20207,ANSONIA COPPER & BRASS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000316051,41.35053,-73.08159
20769,TRADEBE TREATMENT & RECYCLING,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000316248,41.55284,-72.79306
21060,ALDIN ASSOCIATES LP/ MERIDEN SUNOCO,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110030426386,41.53961,-72.81521
21884,CENTRAL TRANSPORT INTERNATIONAL INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055434016,41.42454,-72.9288
575,CVS PHARMACY 943,12,,http://echo.epa.gov/detailed-facility-report?fid=110042425738,41.71396,-72.22508
962,CVS PHARMACY 1966,12,,http://echo.epa.gov/detailed-facility-report?fid=110044152298,41.28786,-72.68453000000002
2420,"UNDERPASS USED AUTO PARTS, INC.",12,,http://echo.epa.gov/detailed-facility-report?fid=110002495407,41.49908,-72.81368
2435,CVS PHARMACY 0231,12,,http://echo.epa.gov/detailed-facility-report?fid=110054826337,41.8318,-72.49388
3226,CVS PHARMACY 0343,12,,http://echo.epa.gov/detailed-facility-report?fid=110055440955,41.0739,-73.54892
4482,YALE UNIVERSITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000528055,41.261283,-72.98648
4586,CVS PHARMACY 2220,12,,http://echo.epa.gov/detailed-facility-report?fid=110054825971,41.7961,-72.36753
4841,CVS PHARMACY 3835,12,,http://echo.epa.gov/detailed-facility-report?fid=110042425649,41.60181,-72.69197
4877,INNODYNE SOLUTIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110070125130,41.85682,-72.71880999999998
4879,COSTCO WHOLESALE 324,12,,http://echo.epa.gov/detailed-facility-report?fid=110012234536,41.09277,-73.45236
5385,HANDY & HARMAN PMFG - FAIRFIELD,12,,http://echo.epa.gov/detailed-facility-report?fid=110000316159,41.157208,-73.239802
5487,GROTON WATER POLLUTION CONTROL FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110013406019,41.35403,-72.08315999999998
5832,CVS PHARMACY 738,12,,http://echo.epa.gov/detailed-facility-report?fid=110054826621,41.283807,-73.498597
5889,CVS PHARMACY 4149,12,,http://echo.epa.gov/detailed-facility-report?fid=110042425630,41.58498,-72.49698000000002
