,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
835,POTOMAC POWER RESOURCES BENNING GENERATING STATION,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000499531,38.89637000000001,-76.9561
124,WASHINGTON NAVY YARD,13,,http://echo.epa.gov/detailed-facility-report?fid=110064120838,38.875,-76.9875
2820,EAST POTOMAC MAINTENANCE YARD,13,,http://echo.epa.gov/detailed-facility-report?fid=110035845342,38.87717,-77.03638000000002
1936,BLUE PLAINS WASTEWATER TREATMENT PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110029030144,38.813645,-77.027176
2600,WASHINGTON AQUEDUCT DIVISION.,12,,http://echo.epa.gov/detailed-facility-report?fid=110000500841,38.93781,-77.113567
3430,WORLD WAR II MEMORIAL,12,,http://echo.epa.gov/detailed-facility-report?fid=110032592264,38.55,-77.023
374,NATIONAL MUSEUM OF AFRICAN AMERICAN HISTORY & CULTURE,11,,http://echo.epa.gov/detailed-facility-report?fid=110069337131,38.89203,-76.98528
1440,FEDEX WASA,11,,http://echo.epa.gov/detailed-facility-report?fid=110066930860,38.91003,-77.00506999999998
2508,JFK CENTER FOR PERFORMING ARTS,11,,http://echo.epa.gov/detailed-facility-report?fid=110008309605,38.907588,-77.071463
2762,VIRGINIA CONCRETE - SWDC PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110063218101,38.86822,-77.00917
2612,ROUBIN AND JANEIRO,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056437057,38.815636,-77.01817
2311,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,10,,http://echo.epa.gov/detailed-facility-report?fid=110067021298,38.8411,-77.0461
3107,JOINT BASE ANACOSTIA-BOLLING,10,,http://echo.epa.gov/detailed-facility-report?fid=110067432834,38.84669,-77.018624
2641,RONALD REAGAN NATIONAL AIRPORT,9,,http://echo.epa.gov/detailed-facility-report?fid=110067436126,38.8411,-77.0461
2840,MRP CAPITOL RIVER FRONT,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069343981,38.8709,-77.00859
3256,"RODGERS BROTHERS SERVICES, INC (RBS)",8,,http://echo.epa.gov/detailed-facility-report?fid=110070073250,38.91973,-76.97717
1035,DISTRICT YACHT CLUB,7,,http://echo.epa.gov/detailed-facility-report?fid=110010714833,38.87519,-76.98701
1413,MONUMENTAL CONCRETE,7,,http://echo.epa.gov/detailed-facility-report?fid=110070218590,38.817911,-77.012233
3007,HINES GLOBAL REIT 55 M STREET LLC,7,,http://echo.epa.gov/detailed-facility-report?fid=110070230573,38.87648,-77.00703
2190,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067234665,38.849733,-77.031876
