,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
15117,"THE QUIKRETE COMPANIES, LLC.",6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006176271,28.011440000000004,-81.87783
84651,INTERNATIONAL PAPER,4,,http://echo.epa.gov/detailed-facility-report?fid=110009074250,27.9875,-82.10837
96089,"C.D. MCINTOSH, JR. POWER PLANT",3,,http://echo.epa.gov/detailed-facility-report?fid=110000364882,28.0816,-81.9253
63551,MOSAIC FERTILIZER - BARTOW PLANT,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008318588,27.906116,-81.916555
4555,FARKAS LAND CLEARING & DEVELOPMENT,2,,http://echo.epa.gov/detailed-facility-report?fid=110039626660,27.931667,-82.175833
45731,RIDGE GENERATING STATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110001749314,28.027447,-81.845528
69485,MAXPAK LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110015626884,28.038907,-82.001293
76618,"CARPENTER CO., INSULATION DIVISION",2,,http://echo.epa.gov/detailed-facility-report?fid=110002351794,28.035775,-82.048117
104113,FLORIDA SILICA SAND COMPANY,2,,http://echo.epa.gov/detailed-facility-report?fid=110064522994,28.00733,-82.14039
3500,"OWENS CORNING INSULATING SYSTEMS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110044253857,28.069678000000003,-81.99212800000002
28463,T - R DRUM & FREIGHT COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110006157498,28.027134000000004,-82.065282
48886,"PEPPERIDGE FARM, INC",1,,http://echo.epa.gov/detailed-facility-report?fid=110007252757,28.074231,-81.981376
58367,"INDUSTRIAL COMPOSITE SYSTEMS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110000496767,27.997594,-82.03123199999997
94986,DART CONTAINER CORPORATION OF FLORIDA,1,,http://echo.epa.gov/detailed-facility-report?fid=110001412230,28.006178,-82.168476
100834,IGT GLOBAL SOLUTIONS CORPORATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110039528008,28.042362,-82.02636899999997
101045,AMERICAN ENVIRONMENTAL CONTAINER CORP.,1,,http://echo.epa.gov/detailed-facility-report?fid=110000917633,28.01702,-81.87881
134933,"CARLISLE CONSTRUCTION MATERIALS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110001738843,28.035656,-82.037673
135499,PARADISE FRUIT COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110023160309,27.99208,-82.12669100000002
93488,WOOD MULCH PRODUCTS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005970342,28.01592,-81.87881
116654,PUBLIX BAKERY PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005588596,28.037064,-82.00828800000002
