,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
26719,"CORONET INDUSTRIES, INC.",12,,http://echo.epa.gov/detailed-facility-report?fid=110005632681,27.990893,-82.078393
53940,JANUARY ENVIRONMENTAL SERVICES INC,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001739021,27.897969,-81.86298000000002
16600,AMERICAN ENVIRONMENTAL CONTAINER CORPORATION,3,,http://echo.epa.gov/detailed-facility-report?fid=110007422565,28.017844,-81.877945
20616,PPG PAINTS STORE #9332,2,,http://echo.epa.gov/detailed-facility-report?fid=110070125821,27.97033,-81.96308
40577,UNITED NUCLEAR CORPORATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110007435374,27.846047,-81.949658
40678,JOHNSON BROS CORP,2,,http://echo.epa.gov/detailed-facility-report?fid=110018876402,27.857396,-81.870807
63431,CARDINAL HEALTH,2,,http://echo.epa.gov/detailed-facility-report?fid=110012540651,28.071099,-81.978042
72288,"INTERCIT, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110005643740,27.996117,-82.032935
79248,RAIDER ENVIRONMENTAL SERVICES INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110043655899,27.8927,-81.9256
81791,PREMARK INTERNATIONAL INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110016741855,28.030474,-81.945672
87540,SUPERIOR COATINGS INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110032985811,27.902701,-81.985721
5506,HUNTINGTON HILLS GOLF & COUNTRY CLUB,1,,http://echo.epa.gov/detailed-facility-report?fid=110016744004,28.13517,-81.998267
31385,RMS-FL LLC,1,,http://echo.epa.gov/detailed-facility-report?fid=110063686809,28.0324,-82.03374000000002
49550,NATURAL ADVANTAGE LLC,1,,http://echo.epa.gov/detailed-facility-report?fid=110054830420,27.99662,-82.00955
55901,BAILEY PLACE MHP,1,,http://echo.epa.gov/detailed-facility-report?fid=110027950563,27.894445,-81.949548
57895,"ONCOLOGY PLUS, INC",1,,http://echo.epa.gov/detailed-facility-report?fid=110043769106,27.937862,-82.266769
66314,TARGET STORE T1859,1,,http://echo.epa.gov/detailed-facility-report?fid=110027951893,28.09231,-81.970874
69849,FLORIDA POLYTECHNIC UNIVERSITY,1,,http://echo.epa.gov/detailed-facility-report?fid=110062925919,28.14353,-81.84531
72262,UNIVERSITY OF SOUTH FLORIDA (USF),1,,http://echo.epa.gov/detailed-facility-report?fid=110016515608,28.061842,-82.412939
82659,"POP'S PAINTING, INC.",1,,http://echo.epa.gov/detailed-facility-report?fid=110005626938,27.998255,-82.02326
