,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
26562,BRIDG,10,,http://echo.epa.gov/detailed-facility-report?fid=110070073284,28.290833000000006,-81.3725
10024,AIR LIQUIDE,9,,http://echo.epa.gov/detailed-facility-report?fid=110069995983,28.42427,-81.39232
36025,GILL MANUFACTURING INC.,9,,http://echo.epa.gov/detailed-facility-report?fid=110067371659,28.1612,-81.60191999999998
40400,NEFF RENTAL,9,,http://echo.epa.gov/detailed-facility-report?fid=110013376587,28.39318,-81.40449
59486,AIRCRAFT SERVICE INTERNATIONAL GROUP,9,,http://echo.epa.gov/detailed-facility-report?fid=110009074580,28.445427,-81.31656600000002
7192,TRIUMVIRATE ENVIRONMENTAL SERVICES INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110044885176,28.41775,-81.38601
8591,FLORIDA JUNK CAR LLC,8,,http://echo.epa.gov/detailed-facility-report?fid=110063604648,28.40302,-81.39076999999997
60463,CESSNA AIRCRAFT CO,8,,http://echo.epa.gov/detailed-facility-report?fid=110040324048,28.449968,-81.33029
65532,JET AIRCRAFT MAINTENANCE,8,,http://echo.epa.gov/detailed-facility-report?fid=110057187636,28.440890000000003,-81.31676999999998
72021,INDEPENDENCE RECYCLING OF FLORIDA,8,,http://echo.epa.gov/detailed-facility-report?fid=110058283815,28.423540000000006,-81.37996
77688,TIMCO,8,,http://echo.epa.gov/detailed-facility-report?fid=110062659724,28.430805,-81.31133
94624,KISSIMMEE FACILITY,8,,http://echo.epa.gov/detailed-facility-report?fid=110067437562,28.328806,-81.395861
8062,ORLANDO INTERNATIONAL AIRPORT FUEL FACILITY,5,,http://echo.epa.gov/detailed-facility-report?fid=110009074599,28.42665,-81.33506
32735,STS LINE MAINTENANCE,5,,http://echo.epa.gov/detailed-facility-report?fid=110070063736,28.43004,-81.333946
38657,REMOTE BAGGAGE SCREENING FACILITY,5,,http://echo.epa.gov/detailed-facility-report?fid=110070063727,28.444202,-81.29306
47509,MAGIC CARPET AVIATION INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110005639504,28.420339,-81.331967
54125,TAFT RECYCING,5,,http://echo.epa.gov/detailed-facility-report?fid=110012325340,28.425179,-81.380833
58303,SILVER AIRWAYS,5,,http://echo.epa.gov/detailed-facility-report?fid=110002516466,28.437140000000007,-81.28999
61517,A & A AUTO CENTER INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110013373107,28.463237,-81.274512
115739,ROLL LITE OVERHEAD DOOR,5,,http://echo.epa.gov/detailed-facility-report?fid=110070045529,28.415190000000006,-81.39094
