,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
39996,"WEST POINT, CITY OF (WEST POINT WPCP)",13,5.0,http://echo.epa.gov/detailed-facility-report?fid=110006644756,32.857125,-85.17749599999998
57024,DEKALB COUNTY DEPARTMENT OF WATERSHED MANAGEMENT,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110038642831,33.662944,-84.217361
85968,CHEMICAL PRODUCTS TECHNOLOGIES,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000587810,34.15091,-84.78595
41397,CITY OF VALDOSTA,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064421601,30.835111,-83.358083
92366,KOYO BEARINGS USA LLC  - CAIRO PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002102377,30.885684,-84.178034
4373,E. R. SNELL CONTRACTOR INC.,13,,http://echo.epa.gov/detailed-facility-report?fid=110070116570,33.53621,-84.22569
4989,"COASTAL PROCESSING, LLC",13,,http://echo.epa.gov/detailed-facility-report?fid=110067199926,33.005897,-82.457153
5247,WATER POLLUTION CONTROL- JOSHUA STREET PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110009358024,31.538215,-84.147694
7928,GRANTVILLE (CITY OF) GRANTVILLE POND #3,13,,http://echo.epa.gov/detailed-facility-report?fid=110010040357,33.223917,-84.838833
8910,LKQ SAVANNAH,13,,http://echo.epa.gov/detailed-facility-report?fid=110070019717,32.079883,-81.157893
11283,SOUTH COLUMBUS WATER RESOURCE FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110000507096,32.410833000000004,-84.976667
16334,"SYNERGY RECYCLING, LLC",13,,http://echo.epa.gov/detailed-facility-report?fid=110064024256,30.751077,-81.554501
17250,TIFTON REGIONAL WASTEWATER COMPLEX,13,,http://echo.epa.gov/detailed-facility-report?fid=110000514621,31.445833,-83.47805600000002
18896,SA RECYCLING- STATESBORO,13,,http://echo.epa.gov/detailed-facility-report?fid=110070019268,32.378325,-81.84030600000001
20203,"DYNAMIC PAINT SOLUTIONS, INC.",13,,http://echo.epa.gov/detailed-facility-report?fid=110069273663,32.217265999999995,-83.123348
26710,ER SNELL FRIENDSHIP ASPHALT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110015970065,34.129771000000005,-83.925172
33568,"GRANTVILLE, CITY OF (PINE STREET WPCP - POND #2)",13,,http://echo.epa.gov/detailed-facility-report?fid=110010040348,33.237608,-84.847463
36379,RENESSENZ LLC COLONELS ISLAND FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110007487059,31.108055,-81.549463
40945,"STEEL PIPE FABRICATORS, LLC",13,,http://echo.epa.gov/detailed-facility-report?fid=110059512077,33.9291,-84.23826
42087,MCINTOSH COUNTY (MCINTOSH COUNTY WPCP),13,,http://echo.epa.gov/detailed-facility-report?fid=110010040892,31.536621000000004,-81.446432
