,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3592,TESORO HAWAII REFINERY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000486322,21.3041,-158.0912
329,C & C KAPAA/KALAHEO LANDFILL,12,,http://echo.epa.gov/detailed-facility-report?fid=110043685991,21.393028,-157.749676
529,MAUI ELECTRIC CO LTD KAHULUI GENERATING STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000486395,20.896806,-156.462889
640,PRECISION DEMOLITION,12,,http://echo.epa.gov/detailed-facility-report?fid=110001412551,21.37922,-158.01816000000005
2177,CHEVRON PRODUCTS CO - HAWAII REFINERY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000486304,21.3105,-158.1107
2706,CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110043806012,21.158557,-156.86999
3247,ALOHA PETROLEUM HILO TERMINAL,12,,http://echo.epa.gov/detailed-facility-report?fid=110000888335,19.729698000000006,-155.049523
3831,SOUTH HILO LANDFILL,12,,http://echo.epa.gov/detailed-facility-report?fid=110013948121,19.71913,-155.0786
3878,CORALCO - ISLAND DEMO_(LAIMU),12,,http://echo.epa.gov/detailed-facility-report?fid=110013330154,21.30385,-157.84944
4798,ISLANDER BEACH HOTEL,12,,http://echo.epa.gov/detailed-facility-report?fid=110015787013,22.08031,-159.31398000000004
5276,KAILUA 7TH-DAY ADVENTIST CHURCH,12,,http://echo.epa.gov/detailed-facility-report?fid=110001412588,21.33303,-157.84216999999995
6881,WAIMANALO GULCH LANDFILL,12,,http://echo.epa.gov/detailed-facility-report?fid=110014055501,21.344189,-158.117664
7033,HELCO KANOELEHUA HILL GENERATING STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000486377,19.70467,-155.06314
2505,HAWAIIAN CEMENT,4,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001752915,21.373972,-157.909167
400,CITIZENS UTILITIES CO,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018854765,21.96989,-159.38407
3971,QUEEN'S MEDICAL CENTER,3,,http://echo.epa.gov/detailed-facility-report?fid=110000789380,21.30756,-157.85522
1075,AES HAWAII INC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110027164164,21.301222,-158.107306
1396,GRACE PACIFIC - KAPAA QUARRY,2,,http://echo.epa.gov/detailed-facility-report?fid=110010384342,21.391294,-157.743087
3019,AMERON H C & D PIPE DIV,2,,http://echo.epa.gov/detailed-facility-report?fid=110013783174,21.3048,-158.1061
5511,IES - HONOLULU TRANSPORTATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110064141851,21.31549,-157.87458999999996
