,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1086,HAWAIIAN WESTERN STEEL WASTEPI,12,,http://echo.epa.gov/detailed-facility-report?fid=110013791600,21.309147,-158.10278300000004
2366,KAUAI TEST FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110027207430,22.0478,-159.68298
3991,PIER 51A TERMINAL HAWAII STEVEDORES,9,,http://echo.epa.gov/detailed-facility-report?fid=110012241582,21.301451,-157.870352
6966,NAVY PUBLIC WORKS CENTER,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110022302417,21.348494,-157.943989
7996,HAWAII PETROLEUM DISTRIBUTION,6,,http://echo.epa.gov/detailed-facility-report?fid=110043590021,19.71644,-155.08346
779,KAMIANO FARMS,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070028275,21.521885,-158.072389
1292,PALI MOMI MEDICAL CENTER,5,,http://echo.epa.gov/detailed-facility-report?fid=110013770375,21.390488,-157.947102
3323,UHM JOHN A BURNS SCHOOL OF MEDICINE (KAKAAKO CAMPUS),5,,http://echo.epa.gov/detailed-facility-report?fid=110005722254,21.29675,-157.86328999999995
6197,VIP TOWING,5,,http://echo.epa.gov/detailed-facility-report?fid=110045412567,21.30296,-157.87153
1019,HAWAIIAN TELCOM KALAHEO CENTRAL OFFICE,4,,http://echo.epa.gov/detailed-facility-report?fid=110070514692,21.92619,-159.52652
1502,HAWAIIAN TELCOM WAHIAWA CENTRAL OFFICE,4,,http://echo.epa.gov/detailed-facility-report?fid=110070514699,21.5019,-158.02399
2167,HAWAIIAN TELCOM KAHULUI BASEYARD,4,,http://echo.epa.gov/detailed-facility-report?fid=110070514700,20.884094,-156.475731
2483,HAWAIIAN TELCOM KIHEI CENTRAL OFFICE,4,,http://echo.epa.gov/detailed-facility-report?fid=110070514701,20.72772,-156.44326999999996
2878,LONGS DRUG STORE #9185,4,,http://echo.epa.gov/detailed-facility-report?fid=110005722003,21.28562,-157.70823
3598,PEARL CITY HIGH SCHOOL MISCELLANEOUS R & M,4,,http://echo.epa.gov/detailed-facility-report?fid=110014050551,21.4138,-157.95557
3917,HAWAIIAN TELCOM HAIKU CENTRAL OFFICE,4,,http://echo.epa.gov/detailed-facility-report?fid=110070514694,20.9143,-156.322893
4574,HAWAIIAN TELCOM KOLOA CENTRAL OFFICE,4,,http://echo.epa.gov/detailed-facility-report?fid=110070514693,21.90357,-159.46703
7911,HAWAIIAN TELCOM WAILUKU CENTRAL OFFICE,4,,http://echo.epa.gov/detailed-facility-report?fid=110070514695,20.88651,-156.50307
567,HARTUNG BROTHERS HAWAII,3,,http://echo.epa.gov/detailed-facility-report?fid=110070119911,21.970418,-159.712999
1513,"DEPT. OF HAWAIIAN HOME LANDS, HOOLEHUA BASYARD",3,,http://echo.epa.gov/detailed-facility-report?fid=110070157757,21.15955,-157.0706
