,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
6154,MUSCATINE CITY OF STP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000789479,41.407499,-91.071913
11039,BLOOMFIELD WWTP (MAIN),13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110002040096,40.744426,-92.409681
19398,OSCEOLA WWTP SOUTH,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110039989411,41.0169,-93.7485
1346,KEOKUK CITY OF STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043869016,40.392083,-91.393694
1838,FAIRFIELD CITY OF STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000731281,40.97904000000001,-91.94494
2004,AJINOMOTO HEARTLAND INC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110035869165,41.143573,-92.647934
7463,"IOWA CITY, CITY OF (SOUTH) STP",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000509209,41.610583,-91.504528
7729,COLUMBUS JUNCTION CITY OF STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110036380145,41.2825,-91.3536
10208,OTTUMWA CITY OF  STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001362034,41.001667,-92.383889
904,MIDAMERICAN ENERGY CO - RIVERSIDE STATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110000415596,41.5404,-90.4478
1865,RIVERSIDE CITY OF STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010033061,41.481111,-91.545278
1873,MUSCATINE POWER & WATER GENERATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110000415827,41.3893,-91.0577
1989,BURLINGTON GENERATING STATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110000415355,40.7411,-91.1171
2008,SCOTT CO PK-WEST LAKE-PARK TERRACE,13,,http://echo.epa.gov/detailed-facility-report?fid=110036249173,41.508156,-90.68836
2979,WAPELLO STL,13,,http://echo.epa.gov/detailed-facility-report?fid=110039691438,41.1736,-91.1778
3148,BIRMINGHAM CITY OF STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010036237,40.88528,-91.93607
5424,ROQUETTE AMERICA INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000415505,40.3881,-91.398
5830,MONTROSE CITY OF STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110039691072,40.531763,-91.415763
5945,MEDIAPOLIS CITY OF STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010828952,41.0078,-91.1504
7175,BLAKESBURG CITY OF STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010035844,40.96,-92.6395
