,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3632,PORT NEAL NITROGEN COMPLEX,12,,http://echo.epa.gov/detailed-facility-report?fid=110000414089,42.32786,-96.36489
3928,AG PARTNERS LLC-ELLSWORTH,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007254023,42.30203,-93.56011
4881,VAN DIEST SUPPLY COMPANY,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069992088,42.47104,-93.88793
12487,QUAD COUNTY CORN PROCESSORS COOPERATIVE,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007390340,42.47684,-95.41516
459,"GREEN PLAINS LAKOTA, LLC",3,,http://echo.epa.gov/detailed-facility-report?fid=110006529729,43.38391,-94.14706
5876,"GOLDEN GRAIN ENERGY, LLC",3,,http://echo.epa.gov/detailed-facility-report?fid=110020160403,43.1112,-93.231
18743,LEHIGH CEMENT CO LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000767705,43.1788,-93.2118
9787,LINCOLNWAY ENERGY LLC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110024891027,42.02344,-93.51171
3577,"TEMPLETON RYE SPIRITS, LLC",2,,http://echo.epa.gov/detailed-facility-report?fid=110070102005,41.917478,-94.94049
5268,UNITED STATES GYPSUM CO - FORT DODGE,2,,http://echo.epa.gov/detailed-facility-report?fid=110018866039,42.485833,-94.1425
5686,ZINPRO CORPORATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110000413366,43.09111,-93.59279
7115,THE ANDERSONS MARATHON HOLDING LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110025317146,41.98905,-95.39912
11123,"PLCP, L.P.",2,,http://echo.epa.gov/detailed-facility-report?fid=110018854952,42.45777800000001,-93.055833
11618,"GKN ARMSTRONG WHEELS, INC - ARMSTRONG",2,,http://echo.epa.gov/detailed-facility-report?fid=110000413516,43.3996,-94.51159
486,NATIONAL GYPSUM CO-DIV OF GOLD BOND BLDG,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022725988,42.48663300000001,-94.167739
5090,SEABOARD FOOD OF IOWA,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001398112,42.5118,-93.269002
17982,CELOTEX CORP GYPSUM RECYCLING-FT DODGE,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002442866,42.48529,-94.1287
372,POET BIOREFINING - ASHTON,1,,http://echo.epa.gov/detailed-facility-report?fid=110015723029,43.279722,-95.8125
1511,IOWA LIMESTONE COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110006162954,42.51952,-93.36997
1945,BANCROFT WATER SUPPLY,1,,http://echo.epa.gov/detailed-facility-report?fid=110022697848,43.293061,-94.21799
