,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
8979,BNSF FORMER RECYCLETRONICS,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070796777,42.56149,-96.33216
12826,WASTE MANAGEMENT - SIOUX CITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070260483,42.503029,-96.388847
2609,SIOUXLAND GALVANIZING,12,,http://echo.epa.gov/detailed-facility-report?fid=110000414169,42.431,-96.38075
4666,PHELPS IMPLEMENT CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110005766251,42.36157,-92.78355
5637,HOLLY INDUSTRIES INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110005745738,42.27117,-96.07764
8019,TRI-STATE PAVING CO-PLANT #3,12,,http://echo.epa.gov/detailed-facility-report?fid=110050813942,43.39517,-94.81796
14968,ARTISAN PRESS,12,,http://echo.epa.gov/detailed-facility-report?fid=110005761149,42.515554,-96.367269
15217,IOWA CENTRAL COMMUNITY COLLEGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110005750277,42.490808,-94.202735
15767,CON-WAY FREIGHT - XMC,12,,http://echo.epa.gov/detailed-facility-report?fid=110043543083,43.145825,-93.320094
15838,GMT CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110011701355,42.9609,-92.53103
17575,OKOBOJI MOTOR COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110005741545,43.42261,-95.13103
18047,CURRIES DIV OF AADG INC-12TH STREET,12,,http://echo.epa.gov/detailed-facility-report?fid=110000413240,43.16501,-93.22789
18722,IOWA DOT REST AREA #02 I80 ADAIR,12,,http://echo.epa.gov/detailed-facility-report?fid=110000888399,42.02288,-93.62131
454,JOE BUSCH AG REPAIR INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110005755316,41.993928,-93.833027
16376,USDA-NATIONAL ANIMAL DISEASE CENTER,11,,http://echo.epa.gov/detailed-facility-report?fid=110018868411,42.047831,-93.580449
501,COZZINI LLC-IOWA MANUFACTURING FACILITY,9,,http://echo.epa.gov/detailed-facility-report?fid=110006163070,43.082436,-94.207079
19141,CARGILL INC-SIOUX CITY-REFINERY,9,,http://echo.epa.gov/detailed-facility-report?fid=110001361856,42.505534,-96.391144
565,ERIC WEDEKING AUTO BODY,6,,http://echo.epa.gov/detailed-facility-report?fid=110005751855,42.78128,-92.67486
4646,DEMCO MANUFACTURING COMPANY - SPENCER,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005775786,43.15303,-95.1991
8881,RANCO FERTISERVICE INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110007358607,42.88813,-95.15281
