,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1288,KENDRICK WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010027050,46.605984,-116.668153
3849,JUG MOUNTAIN RANCH UTILITIES,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110017376757,44.758333,-116.03888899999998
4297,ST MARIES WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011271541,47.327935,-116.596333
5107,PLUMMER WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110013719075,47.339897,-116.871752
6438,DRIGGS WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010027309,43.720525,-111.127519
6568,WORLEY WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110013080094,47.40665300000001,-116.920366
8157,TROY WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010026989,46.730908,-116.757052
10231,GENESEE WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110039696255,46.5413,-116.941432
11821,NEZPERCE WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011271612,46.240915,-116.241349
2338,PIERCE WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006676338,46.492503,-115.800879
2453,SALMON SEWAGE LAGOON,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011271685,45.190657,-113.889223
6083,FRANKLIN WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039983934,42.01298900000001,-111.808864
7189,HAGERMAN WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006776042,42.807181,-114.900781
8232,FAIRFIELD WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009725734,43.339295,-114.802827
200,ATLANTA GOLD CORPORATION OF AMERICA INC - ATLANTA GOLD PROJECT,13,,http://echo.epa.gov/detailed-facility-report?fid=110024568751,43.79190300000001,-115.112008
777,WHITE WATER FISHERIES STEVENSON PONDS,13,,http://echo.epa.gov/detailed-facility-report?fid=110009056323,42.87753,-114.913677
902,RCP FISH PONDS,13,,http://echo.epa.gov/detailed-facility-report?fid=110011272274,42.64964000000001,-114.751757
942,FIRST ASCENT FISH FARM,13,,http://echo.epa.gov/detailed-facility-report?fid=110006776275,42.647021,-114.788026
996,CANYON SPRINGS FISH FARM,13,,http://echo.epa.gov/detailed-facility-report?fid=110008987980,42.605426,-114.47563999999998
1321,OROFINO WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010027318,46.487385,-116.267884
