,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
4794,INEEL CENTRAL FACILITIES AREA,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110061007823,43.529389,-112.9435
7348,J R SIMPLOT DON PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000600421,42.9072,-112.526
1189,PRESSURE TREATED TIMBER SITE,12,,http://echo.epa.gov/detailed-facility-report?fid=110000700144,43.552,-116.21801
3844,CEDAR POLES,12,,http://echo.epa.gov/detailed-facility-report?fid=110042072299,48.17955,-117.03964
7062,BROADWAY CENTER LAUNDRY,12,,http://echo.epa.gov/detailed-facility-report?fid=110015839342,43.59787,-116.19355
10523,MESENBRINK TIMBERCRAFT,12,,http://echo.epa.gov/detailed-facility-report?fid=110006164854,47.840922,-116.772078
11423,ITAFOS CONDA PHOSPATE OPERATIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110000468351,42.739417,-111.541421
6805,US ECOLOGY IDAHO,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110046358133,43.0635,-116.26375
2741,CLASSIC KITCHEN DOORS INC FINISH FACILITY,9,,http://echo.epa.gov/detailed-facility-report?fid=110070063477,43.606949,-116.405864
6153,SAFETY-KLEEN SYSTEMS 118308,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000612132,43.544979,-116.181713
4672,COLOR CRAFT PAINTING & WALLCOVERING INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110070594437,43.65243,-116.28411
7660,P KAY METAL,5,,http://echo.epa.gov/detailed-facility-report?fid=110070207172,46.36808,-117.032183
10905,MOUNTAIN HOME AIR FORCE BASE USAF,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022448298,43.04805,-115.8647
9803,XPO LOGISTICS FREIGHT INC UBI MERIDIAN,4,,http://echo.epa.gov/detailed-facility-report?fid=110045540553,43.61603,-116.36211000000002
6442,DIAMOND CREEK MILL,3,,http://echo.epa.gov/detailed-facility-report?fid=110044258950,43.101469,-116.588094
6965,GP OIL,3,,http://echo.epa.gov/detailed-facility-report?fid=110057072171,42.544891,-114.447168
8533,ID TRANS DEPT JEROME MAINTENANCE YARD,3,,http://echo.epa.gov/detailed-facility-report?fid=110070516306,42.72423,-114.5572
9043,ACECO PRECISION MANUFACTURING,3,,http://echo.epa.gov/detailed-facility-report?fid=110059499127,43.56503,-116.18346
9527,AMVAC CHEMICAL,3,,http://echo.epa.gov/detailed-facility-report?fid=110000468583,43.55253,-116.80898
765,YELLOWSTONE PLASTICS,2,,http://echo.epa.gov/detailed-facility-report?fid=110005792464,43.437482,-112.108642
