,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
15071,GIRARD WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009988111,39.4467,-89.7967
16915,"BENLD STP, CITY OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006768284,39.0781,-89.8142
19448,DEER RIDGE SUBDIVISION STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006679451,40.484167,-89.093333
20911,"BLUE MOUND STP, VILLAGE OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018188600,39.706694,-89.10669399999998
28533,PANA STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039919247,39.37621,-89.08773000000002
53458,CARLINVILLE STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010022475,39.268042,-89.876952
78391,"MACON STP, CITY OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010024721,39.77854,-88.87536
92861,LONG CREEK WTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054110467,39.809218,-88.85914100000002
978,"ROYAL LAKES STP, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110006768006,39.1117,-89.975
3747,"FARMER CITY STP, CITY OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110009735368,40.23707,-88.64988000000002
4682,AHLSTROM FILTRATION LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110011266003,39.555441,-89.280587
5553,"ROODHOUSE STP, CITY OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110020140426,39.481667,-90.368333
8927,PANA WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110015723145,39.37621,-89.08773000000002
9440,"WILSONVILLE STP, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110009726573,39.0583,-89.8483
11023,CHAMPAIGN-URBANA MASS TRANSIT DISTRICT,13,,http://echo.epa.gov/detailed-facility-report?fid=110055247772,40.11633,-88.198868
11370,TAYLORVILLE SD STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110000880459,39.56013,-89.33373
17446,"HARDIN STW, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110025338285,39.15,-90.6017
19246,HOLIDAY SHORES SD,13,,http://echo.epa.gov/detailed-facility-report?fid=110010024543,38.91527,-89.94513
19468,OHLMAN STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009987764,39.34767100000001,-89.219868
23800,"HETTICK STP, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110006775196,39.35514000000001,-90.04018
