,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
9209,JOHN A BIEWER CO OF ILLINOIS,12,,http://echo.epa.gov/detailed-facility-report?fid=110000437750,41.310374,-88.595067
24140,HISTORY WOOD WINDOWS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110044807821,41.00308,-88.52654
26556,STEPAN CO MILLSDALE ROAD,12,,http://echo.epa.gov/detailed-facility-report?fid=110000432504,41.441667,-88.15972
43691,GENOA-KINGSTON HS,12,,http://echo.epa.gov/detailed-facility-report?fid=110055928000,42.09888,-88.71753000000002
45131,FAGERDALA USA INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110011268519,41.553832,-89.117009
45658,CAPRON MFG CO-CAPRON P/T,12,,http://echo.epa.gov/detailed-facility-report?fid=110055069312,42.40195900000001,-88.73650500000002
49020,IMPERIAL INDUSTRIAL FINISHING SERVICES,12,,http://echo.epa.gov/detailed-facility-report?fid=110001337768,42.098725,-88.76343100000003
55676,APPLIED PRODUCTS,12,,http://echo.epa.gov/detailed-facility-report?fid=110005797021,42.37059,-89.03528
57003,VACTOR,12,,http://echo.epa.gov/detailed-facility-report?fid=110000612150,41.098912,-88.822047
57355,BELVEDERE USA CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000612481,42.25257,-88.85501
60459,CONTINENTAL METALS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000437625,41.33841,-89.08678
76796,HISTORY WOOD WINDOWS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110044807830,41.00536,-88.52636
85518,EQUISTAR CHEMICALS LP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000433013,41.412897,-88.329773
85797,LEMAN PAINT WORKS,12,,http://echo.epa.gov/detailed-facility-report?fid=110070120075,40.788988,-88.409252
91933,ARCELORMITTAL HENNEPIN LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000595491,41.26424,-89.32589
51889,AUX SABLE LIQUID PRODUCTS INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110056954096,41.413036,-88.303001
74220,COMPLETE INDUSTRIAL ENT MOTOR RP,10,,http://echo.epa.gov/detailed-facility-report?fid=110005868702,41.349506,-89.121077
67816,CATERPILLAR INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110043262803,40.884423,-88.65274000000002
48216,ROCK VALLEY COLLEGE,7,,http://echo.epa.gov/detailed-facility-report?fid=110001363275,42.306287,-88.992661
73704,BFI WASTE SYSTEMS OF NA INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110001305613,42.143601,-89.086366
