,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
2165,"NILES, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110017705081,42.025652,-87.80114499999998
14482,MWRDGC TERRENCE J O'BRIEN WTR RECLAMATION PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110039909338,42.01907,-87.71628
30567,NORTHFIELD TOWNSHIP,13,,http://echo.epa.gov/detailed-facility-report?fid=110018425202,42.09001,-87.8129
54131,JOHN CRANE INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000429652,42.026623,-87.786452
58750,"SKOKIE, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110017704377,42.04525,-87.75218000000002
73120,FLUID HANDLING LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000772673,42.02886,-87.778514
77133,"WINNETKA, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110011686577,42.10537,-87.73365
77295,"LINCOLNWOOD CSOS, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110014449757,42.00661,-87.7328
96050,WINNETKA ELECTRIC PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110018172528,42.115449,-87.730935
41018,VILLAGE OF GOLF CSOS,12,,http://echo.epa.gov/detailed-facility-report?fid=110015661586,42.058611,-87.787778
75185,BARNEY II FOUNDATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110001229910,42.11168,-87.98043
20120,SURFACE DISCHARGING SYSTEM 5,11,,http://echo.epa.gov/detailed-facility-report?fid=110063615734,41.98728,-87.65926999999998
34502,"GOLF, VILLAGE OF",5,,http://echo.epa.gov/detailed-facility-report?fid=110017706936,42.059167,-87.783056
83202,"ARLINGTON HEIGHTS CSOS, VILLAGE OF",5,,http://echo.epa.gov/detailed-facility-report?fid=110014449392,42.08126,-87.98048
14613,"MOUNT PROSPECT, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110017705018,42.066667,-87.93333299999998
25201,UOP LLC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000791091,42.032113,-87.917626
79512,"MORTON GROVE CSOS, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110005915812,42.03817,-87.77965999999998
82653,SHELL PIPELINE COMPANY LP,1,,http://echo.epa.gov/detailed-facility-report?fid=110000428680,42.054469,-87.998088
86002,UNITED PARCEL SERVICE - NORTHBROOK,1,,http://echo.epa.gov/detailed-facility-report?fid=110018101597,42.107957,-87.827454
889,VILLAGE OF MORTON GROVE,0,,http://echo.epa.gov/detailed-facility-report?fid=110054129849,42.024226,-87.787426
