,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
35803,GARY SANITARY DISTRICT,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009284540,41.606528,-87.38408299999998
1252,PROSSER COUNTRY ESTATES WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110028090553,40.748278000000006,-85.804417
3612,INDIAN HILLS MOBILE HOME PARK,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064113472,39.53275,-84.82425
6946,CRAWFORDSVILLE ENERGY LLC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017393907,40.047333,-86.90033299999997
10554,"LA FONTAINE WWTP, TOWN OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039960290,40.674056,-85.73136099999998
15619,CARRIAGE HOUSE ESTATES,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006764858,40.838028,-85.78399999999998
15683,ROACHDALE MUNICIPAL WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010831984,39.857556,-86.802611
15846,UNIONDALE WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009974581,40.820667,-85.241417
17790,WINSLOW MUNICIPAL WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009738365,38.389306,-87.23100000000002
19573,AKRON MUNICIPAL STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009978809,41.0325,-86.03394399999998
20324,FRANCESVILLE MUNICIPAL WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006765660,41.004556,-86.877278
26467,EVANSVILLE WESTSIDE WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011998838,37.960028,-87.631417
30500,LAKE PLACID CONFERENCE CENTER,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012139480,40.444222,-85.329972
31096,"MANASEK ACQUISITION COMPANY, LLC",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069209494,40.273944,-85.81241700000002
31104,CRAWFORDSVILLE WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000732093,40.047083,-86.90083299999998
36106,OAKWOOD MOBILE HOME PARK,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012139355,38.626528,-87.18422199999998
36361,MARTIS PLACE BOMARS RIVER LODGE,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009694438,41.26692,-87.18488
37329,PAOLI MUNICIPAL WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009974974,38.590694,-86.490611
38302,SCOTT PET PRODUCTS,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070047480,39.768288,-87.406475
41643,TOWN OF CLARKSVILLE PUBLIC WORKS FACILITY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003105595,38.296778,-85.773528
