,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
25943,"TRADEBE TREATMENT AND RECYCLING, LLC.",12,14.0,http://echo.epa.gov/detailed-facility-report?fid=110000397874,41.633441,-87.461568
41626,HERITAGE ENVIRONMENTAL SERVICES LLC,12,9.0,http://echo.epa.gov/detailed-facility-report?fid=110000397393,39.74800000000001,-86.2997
19652,USS GARY WORKS,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000398374,41.6125,-87.3114
2881,EXIDE CORP,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000397712,40.156959,-85.41741800000001
12117,FICOSA NORTH AMERICA CORPORATION,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110041982904,40.666611,-84.94475
29191,STEPHENS MACHINE INCORPORATED,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110070120128,40.46489,-86.15549
44920,HAYNES INTERNATIONAL INC,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000401351,40.472124,-86.160002
8888,PAPPAS CLEANERS,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110009390505,39.8255,-86.08485
8976,OIL RECYCLING CO,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110003137846,41.61842,-86.71118
21027,ECO PAK LLC,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110017863604,40.1931,-85.27873000000002
23658,LAL ACQUISITION INCORPORATED,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110003074271,40.10720300000001,-85.385201
25846,ESSROC CEMENT CORP,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000401459,40.734521,-86.433441
35392,"HERITAGE-CRYSTAL CLEAN, LLC",12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000493644,39.781162,-86.225313
37848,DAYTON FREIGHT,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110057072331,38.08287,-87.49083
39671,HONEYWELL AEROSPACE SOUTH BEND,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000497105,41.6846,-86.299087
17242,US NAVY NSWC CRANE DIV,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000403359,38.841611,-86.84830500000002
23137,"ARCELORMITTAL STEEL, INC-WEST FACILITY",12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000397794,41.651165,-87.45916700000002
29127,KEMARK CO INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009452911,41.06891,-85.12317
29499,C J BOOTS CASKET LLC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110058776392,40.11067,-85.67926999999997
31246,"COUPLED PRODUCTS, LLC",12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110042014931,41.123417,-85.375722
