REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110000397393,HERITAGE ENVIRONMENTAL SERVICES LLC,12,9.0,http://echo.epa.gov/detailed-facility-report?fid=110000397393,39.748000000000005,-86.2997
110009390505,PAPPAS CLEANERS,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110009390505,39.8255,-86.08485
110000493644,"HERITAGE-CRYSTAL CLEAN, LLC",12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000493644,39.781162,-86.225313
110070207194,INDY IMAGING INCORPORATED,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070207194,39.78881,-86.18585999999999
110000742019,ROLLS-ROYCE CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000742019,39.7359,-86.2118
110045974353,TARGET STORE T0881,12,,http://echo.epa.gov/detailed-facility-report?fid=110045974353,39.82329,-86.27949
110020964660,REFINED METALS CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110020964660,39.71541,-86.06359
110000396857,"WILLIAMSON POLISHING & PLATING CO., INC.",12,,http://echo.epa.gov/detailed-facility-report?fid=110000396857,39.795790000000004,-86.13547
110000889913,HERITAGE TRANSPORT LLC,11,6.0,http://echo.epa.gov/detailed-facility-report?fid=110000889913,39.741313,-86.296654
110001353179,COMMUNITY HOSPITAL - EAST,9,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001353179,39.788070000000005,-86.07382
110069282065,ASTRO PAK CORPORATION,8,3.0,http://echo.epa.gov/detailed-facility-report?fid=110069282065,39.727358,-86.254878
110042278665,TEXTRON AVIATION,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110042278665,39.73591,-86.28112
110000613275,GENERAL MOTORS FORMER AGT DIVISION,6,,http://echo.epa.gov/detailed-facility-report?fid=110000613275,39.735928,-86.201559
110045543006,CVS PHARMACY 6604,6,,http://echo.epa.gov/detailed-facility-report?fid=110045543006,39.769690000000004,-86.15981
110000396866,CEG PROSPECT SITE,6,,http://echo.epa.gov/detailed-facility-report?fid=110000396866,39.75328,-86.116702
110070631061,THE BEDDER WAY CO,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070631061,39.71602,-86.12427
110000397026,COLORS INC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000397026,39.816743,-86.069427
110070028313,CHARLES HUNTER ESTATE,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070028313,39.723620000000004,-86.08261
110000779701,SUPERIOR METAL TECHNOLOGIES,4,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000779701,39.81155,-85.9943
110003095285,PRECISION AUTO DBA MAACO,3,,http://echo.epa.gov/detailed-facility-report?fid=110003095285,39.81135,-86.22236
