,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
956,BOWIE REFINED COAL LLC (833-9006),13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110064511826,37.72533,-83.99838000000003
1701,PINE BRANCH MINING LLC (897-0569),13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110011214970,37.3572,-83.3497
14140,MONTGOMERY CO. SANITARY LANDFILL & MRF,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110043793393,37.9534,-83.95254
18922,HARRODSBURG WWTP EXPANSION,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000732324,37.776316,-84.867385
23481,MOUNT OLIVET STP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110009010373,38.535831,-84.0375
23879,LA CENTER WWTP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110009939362,37.07713,-88.9723
2463,CUMBERLAND SEWAGE TREATMENT PLANT,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110023128587,36.97629000000001,-82.99889
4175,MARTIN STP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009938880,37.5808,-82.743639
5976,MARSHALL CO SD #2,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009051863,36.925556,-88.34944399999998
25061,LOUISA STP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110045080336,38.118889,-82.61444399999998
1348,STINNETT ELEMENTARY SCHOOL,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110027990930,37.06742,-83.40745
4945,CALHOUN WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006752442,37.532222,-87.265556
5075,KNOTT CO WATER & SEWER DISTRICT-KNOTT CO WTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006654511,37.337971,-82.870868
5164,MAYFIELD STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039995137,36.751957,-88.64519200000002
6445,LIBERTY STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006752022,37.376023,-84.896754
7875,LEXINGTON COAL CO LLC [880-5202],13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067015875,37.781389,-82.378056
8079,TIMBERLAND SUBDIVISION WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009936409,37.07915,-88.77534
11413,COOLBROOK WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009051872,38.1383,-84.9346
13594,BCSD HILLVIEW #2,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009051649,38.079306,-85.683806
13808,SOUTH 641 WATER DISTRICT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009938755,36.501376,-88.32591
