,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
24619,VACUMET CORP. PAPERS DIVISION,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001942391,42.0782,-71.4384
3363,VARNEY BROTHERS SAND & GRAVEL INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110002017638,42.110996,-71.489737
12361,GLADDING HEARN SHIPBUILDING,5,,http://echo.epa.gov/detailed-facility-report?fid=110024299132,41.71907,-71.16606999999998
8852,BELLINGHAM COGENERATION FACILITY,2,,http://echo.epa.gov/detailed-facility-report?fid=110000310486,42.093255,-71.48161
31160,TAMER INDUSTRIES,2,,http://echo.epa.gov/detailed-facility-report?fid=110002018968,41.72051,-71.1636
34056,BARRY INDUSTRIES,2,,http://echo.epa.gov/detailed-facility-report?fid=110006813902,41.95778,-71.29951
5038,AGGREGATE INDUSTRIES NORTHEAST REGION,1,,http://echo.epa.gov/detailed-facility-report?fid=110012709140,42.02777,-71.35177
30790,MCCABE SAND & GRAVEL,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001952030,41.88248,-71.08801
6639,EXCEL RECYCLING LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070029160,41.78446,-71.07777
15438,METFAB ENGINEERING INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000311966,41.983462,-71.301355
34704,CLASSIC FURNITURE,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001956857,42.08277,-71.40914000000002
34923,ZATEC LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040410258,41.86562,-71.12865
36645,STRATEGIC MATERIALS INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043465078,42.07234,-71.42016
33,ISP FREETOWN FINE CHEMICALS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001939779,41.766111,-71.106944
166,STOP & SHOP WAREHOUSE & DISTRIBUTION CTR,0,,http://echo.epa.gov/detailed-facility-report?fid=110063229386,41.77564,-71.09181
249,THE HERALD NEWS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001959006,41.70125,-71.15621999999998
300,ANP BELLINGHAM POWER PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110024360458,42.109971,-71.452954
530,PEP POLYMET CLAD METAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110000311939,41.99247,-71.33205
776,LAKEVILLE LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110044359173,41.876389,-70.943889
823,KILMARTIN INDUSTRIES,0,,http://echo.epa.gov/detailed-facility-report?fid=110000311555,41.958257,-71.299526
