,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
24922,CLEAN HARBORS LAUREL LLC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110041974352,39.1016,-76.81602
31360,"TOX PATH SPECIALISTS, LLC",12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045545594,39.43427,-77.37094
14092,DTE SPARROWS POINT,12,,http://echo.epa.gov/detailed-facility-report?fid=110035428551,39.216655,-76.476275
2871,"COLONIAL METALS, INC.",10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000340710,39.62106,-75.85149
14392,CLEAN HARBORS OF BALTIMORE,10,,http://echo.epa.gov/detailed-facility-report?fid=110029273417,39.2711,-76.6327
17989,APHENA PHARMA SOLUTIONS-MD LLC,10,,http://echo.epa.gov/detailed-facility-report?fid=110050570136,38.767989,-76.052798
11552,ATLANTIC WOOD INDUSTRIES INCORPORATED,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000340667,38.322238,-75.61901800000003
16191,GREAT SOUTHERN WOOD,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000340417,39.619908,-77.73662
32983,"NIERMANN WEEKS CO, INC",9,,http://echo.epa.gov/detailed-facility-report?fid=110022383696,39.07158,-76.63138000000002
11415,ARCAL CHEMICALS INC,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110019880556,38.887297,-76.86479
24989,ALCORE INC - LAKESIDE,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000339438,39.44739000000001,-76.3142
25693,JOHNS HOPKINS UNIVERSITY - APL,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110019858402,39.16084,-76.89956
3292,"SAPPHIRE SCIENTIFIC, INC.",6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000339606,39.30204000000001,-76.55771999999997
6206,"PHARMACEUTICS INTERNATIONAL, INC.",6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054598048,39.48156,-76.66199
12649,DANA CONTAINER INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110000866910,39.232283,-76.58406
13979,FIL-TEC,6,,http://echo.epa.gov/detailed-facility-report?fid=110000340373,39.649208,-77.581007
7589,W R GRACE & CO - CONN COLUMBIA,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000339456,39.192013,-76.89686400000002
34904,"E. JOHN SCHMITZ - SONS, INC",5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001276271,39.5152,-76.65085
23939,GEA PROCESS ENGINEERING INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110038254527,39.23347,-76.82133
30255,MEDSTAR UNION MEMORIAL HOSPITAL,5,,http://echo.epa.gov/detailed-facility-report?fid=110003513109,39.330838,-76.615043
