,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
27230,DIAGEO NORTH AMERICA,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000764290,39.22457,-76.69794
35060,"NEW NGC, INC. DBA NATIONAL GYPSUM COMPANY",4,,http://echo.epa.gov/detailed-facility-report?fid=110001251797,39.26357,-76.55525
14423,RAVEN POWER GENERATING STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038162902,39.1797,-76.5334
6392,BRC LEASING COMPANY LLC-NIH BAYVIEW,1,,http://echo.epa.gov/detailed-facility-report?fid=110024825448,39.289182,-76.549223
11393,U S COAST GUARD YARD,1,,http://echo.epa.gov/detailed-facility-report?fid=110000764325,39.2,-76.572694
0,BALTIMORE STRIPPING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001255454,39.285603,-76.63735799999998
10,EVANGELICAL LUTH. CH. OF OUR SAVIOR,0,,http://echo.epa.gov/detailed-facility-report?fid=110001777104,39.24590300000001,-76.66246899999999
22,"SMITH, F. BOWIE & SON",0,,http://echo.epa.gov/detailed-facility-report?fid=110001283753,39.293164,-76.558171
24,J & J AUTO BODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001782759,39.18708,-76.82454
29,ARCO,0,,http://echo.epa.gov/detailed-facility-report?fid=110001771048,39.38153,-76.73039
32,EXXON,0,,http://echo.epa.gov/detailed-facility-report?fid=110001310368,38.950767,-76.49414
42,ELKRIDGE ELEMENTARY SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110019856618,39.21106,-76.73161
76,ROY & SON AUTO SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001255490,39.35154,-76.56081999999998
145,DELI-DELI,0,,http://echo.epa.gov/detailed-facility-report?fid=110001956982,38.977453,-76.53605300000002
230,SOUTHERN STATES COOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110000764343,39.26585,-76.58476999999998
273,TRIANGLE SIGN & SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001838539,39.258039,-76.682069
297,KAYDON RING & SEAL INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000340104,39.274453,-76.635562
322,FRISCO BURRITOS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001834720,39.39943,-76.60301
324,CLENDENIN BROTHERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110000339660,39.31181,-76.56611
341,SHERATON INTERNATIONAL HOTEL,0,,http://echo.epa.gov/detailed-facility-report?fid=110002332020,39.181111,-76.671667
