,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
29031,PRINCE SPECIALTY PRODUCTS LLC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000867036,39.19469,-76.56416
13949,COX CREEK WATER RECLAMATION PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000537072,39.174556,-76.53491700000002
18658,LOCKHEED MARTIN DUMP ROAD AREA GROUNDWATER TREATMENT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110067429820,37.59084,-81.52319
23021,"AMERICAN WATER OPERATIONS AND MAINTENANCE, INC. FORT MEADE WWTP",13,,http://echo.epa.gov/detailed-facility-report?fid=110049522875,39.091182,-76.775373
28131,MARYLAND CITY WATER RECLAMATION FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110000736927,39.081927,-76.826856
29804,EVANGELICAL PRESBYTERIAN CHURCH OF ANNAPOLIS,13,,http://echo.epa.gov/detailed-facility-report?fid=110006635533,39.00064,-76.5193
30931,BROADNECK WATER RECLAMATION FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110000537134,39.025556,-76.406944
34572,STEVENSON UNIVERSITY WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110064161197,39.42326,-76.69651999999998
3172,WATERMONT SWIM CLUB,12,,http://echo.epa.gov/detailed-facility-report?fid=110012806188,39.21113,-76.76639
10312,ALTHOLTON SWIM CLUB,12,,http://echo.epa.gov/detailed-facility-report?fid=110012669228,39.1844,-76.86061
11017,"THE SEASONS APARTMENTS,POOL #2",12,,http://echo.epa.gov/detailed-facility-report?fid=110015602739,39.119193,-76.846147
11974,VILLAGE SQUARE APART/TOWNHOUSE,12,,http://echo.epa.gov/detailed-facility-report?fid=110019908162,39.130945,-76.635091
13423,"NORTHERN FALLS, LLC",12,,http://echo.epa.gov/detailed-facility-report?fid=110069423181,39.36167,-76.64555
16134,ASHLEIGH KNOLLS SHARED SEWAGE DISPOSAL FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110038439936,39.17109,-76.93431
18696,CALVERTON SWIM CLUB,12,,http://echo.epa.gov/detailed-facility-report?fid=110012751771,39.06472,-76.94476
19117,MARYLAND YACHT CLUB,12,,http://echo.epa.gov/detailed-facility-report?fid=110001776533,39.15423,-76.49875
27264,PUBLIC SCHOOL 405,12,,http://echo.epa.gov/detailed-facility-report?fid=110001772341,39.29505,-76.53324
28126,"THE SEASONS APARTMENTS,POOL #1",12,,http://echo.epa.gov/detailed-facility-report?fid=110015602720,39.12022,-76.84196999999998
28185,PODICKORY POINT YACHT/BEACH CL,12,,http://echo.epa.gov/detailed-facility-report?fid=110013344327,39.0323,-76.40771
29376,PARK SCHOOL,12,,http://echo.epa.gov/detailed-facility-report?fid=110002472770,39.39632,-76.67335
