,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
19047,BASF CORP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000494019,42.2215,-83.1472
31137,RIVERVIEW LAND PERSERVE,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003616196,42.156323,-83.212122
32530,DETROIT EDISON CO TRENTON CHANNEL POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000406267,42.1237,-83.1812
44729,EASTERN MI UNIVERSITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110007275046,42.25113,-83.629348
45729,WYANDOTTE MUNICIPAL POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110001680823,42.2082,-83.1456
57742,AW TECHNICAL CENTER USA INC (AW-TC),12,,http://echo.epa.gov/detailed-facility-report?fid=110041891307,42.2919,-83.6764
22018,AK STEEL DEARBORN WORKS,3,,http://echo.epa.gov/detailed-facility-report?fid=110060497001,42.301742,-83.16293399999998
8784,FORD MOTOR CO DEARBORN ENGINE PLANT,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110050297717,42.3025,-83.154167
35376,AUTOMOTIVE COMPONENTS HOLDINGS LLC SALINE PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110000592993,42.179638,-83.751386
40314,VOSS INDUSTRIES-VOSS TAYLOR DIV,2,,http://echo.epa.gov/detailed-facility-report?fid=110070050147,42.24846,-83.28907
8206,SPRINGWELLS WATER TREATMENT PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110000569661,42.344722,-83.15
12785,UNIVERSITY MI DEARBORN,1,,http://echo.epa.gov/detailed-facility-report?fid=110001301145,42.31334,-83.22729
14481,TOYOTA MOTOR ENGINEERING & MANUFACTURING NA,1,,http://echo.epa.gov/detailed-facility-report?fid=110001848485,42.29731,-83.67511999999998
16560,US SILICA CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110003596902,42.066868,-83.23510999999998
30270,HURON VALLEY STEEL CORP,1,,http://echo.epa.gov/detailed-facility-report?fid=110001680967,42.211725,-83.440073
35577,CADILLAC ASPHALT LLC,1,,http://echo.epa.gov/detailed-facility-report?fid=110001830261,42.220483,-83.54705600000001
43923,"DETROIT WATER & SEWERAGE, SOUTHWEST PLANT",1,,http://echo.epa.gov/detailed-facility-report?fid=110013867681,42.2281,-83.20487
34675,OAKWOOD HOSPITAL & MEDICAL CENTER,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110028029577,42.29186,-83.21173
95,FORD MOTOR CO ALLEN PARK LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110001102627,42.287733,-83.20197900000002
142,"JOHNSON MATTHEY, INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110021138605,42.2148,-83.27320999999998
