,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
563,VILLAGE OF STEVENSVILLE,13,,http://echo.epa.gov/detailed-facility-report?fid=110037502949,42.013085,-86.51975
581,MEADOWBROOK FARMS LLC-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951849,42.712994,-85.967652
763,REPUBLIC ROLLER CORPORATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110064165451,41.94063,-85.6515
2363,PORT OF CALL WEST MHC,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742800,42.346129,-86.206839
4401,COUNTRY ACRES MHP-HOLLAND WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742604,42.725179,-86.125551
4776,GALIEN WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009910855,41.8139,-86.5183
4866,GLASSMASTER CONTROLS-KALAMAZOO,13,,http://echo.epa.gov/detailed-facility-report?fid=110003581598,42.29886,-85.59474
5370,SCOTT MCKENZIE FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041950626,42.0133,-85.8025
7119,DEYOUNG PORK-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110022915675,42.52341,-85.57018000000002
8294,KLEINHEKSEL FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041950662,42.696756,-86.047089
9221,BURR OAK TOOL INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110003578628,41.78866,-85.42576
9979,BASELINE FARM-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041271281,42.419002,-86.170511
10513,HILLSIDE FARMS-OVERISEL CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951796,42.724709,-85.958106
10683,NEW BUFFALO PLAZA WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742301,41.77185,-86.72907
10979,LIBERTY BEEF FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951867,42.412565,-85.46713299999998
11159,GUN LAKE GAMING/ENTERTAINMENT,13,,http://echo.epa.gov/detailed-facility-report?fid=110039145430,42.63042,-85.65445
11488,HARVEST HILL FARM-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110028142490,42.7086,-85.9797
12085,KALAMAZOO LAKE WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742007,42.642227,-86.197849
14131,EAU CLAIRE WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110062643340,41.998126,-86.307281
14175,MCKENZIE REED FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041271156,41.99624,-85.79057
