,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
430,ROLLIN-WOODSTOCK WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006649902,41.974179,-84.344112
439,FAIRFIELD TWP WWSL-JASPER,13,,http://echo.epa.gov/detailed-facility-report?fid=110006649369,41.7917,-84.025
812,COLDWATER WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110013857004,41.932847,-84.992364
4524,"CONAGRA BRANDS, INC. - QUINCY, MI",13,,http://echo.epa.gov/detailed-facility-report?fid=110000558879,41.967669,-84.82593299999998
6392,SILBOND CORP,13,,http://echo.epa.gov/detailed-facility-report?fid=110056966500,41.7722,-84.09803000000002
6904,LITTLE ARROW FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110063888191,41.929875,-85.26345
8601,IDA-RAISINVILLE TWPS WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006649225,41.90759,-83.57075
10304,CROOKED CREEK FARM-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041952036,41.860141,-84.83495
14679,ADRIAN WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110000753587,41.911,-84.0375
17711,ARBOR HILLS REMEDIATION AREA,13,,http://echo.epa.gov/detailed-facility-report?fid=110009900465,42.392432,-83.550849
17824,AMBOY TWP WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009911257,41.70917,-84.57285
19185,CHELSEA WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006740964,42.325162,-84.017426
19331,READING WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742864,41.82513,-84.741986
19726,CARBON GREEN BIOENERGY,13,,http://echo.epa.gov/detailed-facility-report?fid=110025336580,42.76601,-85.07428
22617,EATON RAPIDS WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009900697,42.5188,-84.65212
23880,PRIDGEON FARMS,13,,http://echo.epa.gov/detailed-facility-report?fid=110041938632,41.80365,-84.82992
26034,HARBOR MARINE-MONROE,13,,http://echo.epa.gov/detailed-facility-report?fid=110067626812,41.8726,-83.3872
26162,CLAYTON WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009910622,41.875,-84.25
27013,VFW NATL HOME WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742935,42.47598,-84.60088
28572,LEONI TWP WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006650025,42.2327,-84.26142
