,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
14556,VIRGINIA DEPARTMENT OF PUBLIC UTILITIES,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001442341,47.52103,-92.54146
23980,KODA ENERGY LLC,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110040318475,44.794944,-93.538759
64019,HIBBING PUBLIC UTILITIES COMMISSION,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001442332,47.429087,-92.935269
21891,TITAN LANSING TRANSLOADING LLC - NORTH BRANCH,12,,http://echo.epa.gov/detailed-facility-report?fid=110043996334,45.55007,-92.97926
37058,TARGET CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110008824157,44.97326,-93.27527
40652,FIBROMINN BIOMASS POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110008734085,45.2996,-95.5604
21153,UNITED TACONITE LLC - FAIRLANE PLANT,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008799522,47.3502,-92.5735
46510,GERDAU AMERISTEEL ST PAUL MILL,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000424452,44.890936,-93.010877
1752,CMI COATING GROUP INC DBA INDUSTRIAL PAINTING SPECIALISTS,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002357315,45.17076,-92.9861
11132,HUTCHINSON UTILITIES COMMISSION -PLANT 1,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001850275,44.89633,-94.36794
27459,CONAGRA FOODS GRAIN PROCESSING CO,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003799382,44.7258,-92.8504
28673,ALUMACRAFT BOAT COMPANY,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000426940,44.33977,-93.95365
31977,3M CO CENTER PILOT PLANTS,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010292272,44.955556,-92.998611
2652,BROADWAY GENERATION PLANT,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013677146,44.33175900000001,-93.969715
14047,CARGILL AGHORIZONS - FAIRMONT,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001850257,43.662626,-94.492579
46492,SCOTT EQUIPMENT CO,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070072195,44.615592,-94.061197
31612,DENCO II,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110056972655,45.5747,-95.9108
59451,AGRA RESOURCES LLC DBA POET BIOREFINING - GLENVILLE EAST,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110032967957,43.576274,-93.301773
1998,MULTEK FLEXIBLE CIRCUITS INC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003819789,44.4725,-93.1588
26621,GREAT RIVER ENERGY,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017390839,45.2968,-93.5584
