,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
939,CITY OF FARIBAULT WASTEWATER TREATMENT PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000545278,44.309722,-93.266111
7359,BUFFALO WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008749667,45.11536,-93.89093
12545,ZUMBROTA WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008815862,44.299086,-92.666439
42400,US STEEL CORP-MINNTAC WWTF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008799247,47.565,-92.6328
51756,MET COUNCIL - EMPIRE WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000545116,44.664278,-93.104361
51854,BEJOU,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009049564,47.448536,-95.986834
52514,BRAINERD WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039737522,46.33987,-94.22739
54835,MAHNOMEN WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008796348,47.31422,-95.968705
12587,LOWER SIOUX WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110011114070,44.538834,-95.10532
31842,CALLAWAY WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110008796981,46.98123,-95.90929
32188,UPPER SIOUX COMMUNITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110043182631,44.746755,-95.496637
35672,NETT LAKE WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009891037,48.14031,-93.063213
39665,USDI BIA GRND PRTG IND RES,13,,http://echo.epa.gov/detailed-facility-report?fid=110011114203,47.965,-89.688333
53928,MILLE LACS WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110020564003,46.17607,-93.80249
7157,SHAKOPEE MDEWAKANTON CASINO HOTEL,12,,http://echo.epa.gov/detailed-facility-report?fid=110023151747,44.73738,-93.47272
10756,WAUBUN,12,,http://echo.epa.gov/detailed-facility-report?fid=110008796525,47.185,-95.9483
27607,MILLE LACS BAND OF CHIPPEWA,12,,http://echo.epa.gov/detailed-facility-report?fid=110009891224,46.181256,-93.731737
1797,ISD 363 - INDUS PUBLIC SCHOOL,11,,http://echo.epa.gov/detailed-facility-report?fid=110037944598,41.493806,-86.15897199999998
35795,OGEMA WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110008796767,47.102778,-95.925
28263,WHITE EARTH WWSL,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110014423230,47.085822,-95.858685
