,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
939,CITY OF FARIBAULT WASTEWATER TREATMENT PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000545278,44.309722,-93.266111
1275,FOUNTAIN WWTP,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008816326,43.739982,-92.136349
29755,LUVERNE WWTP,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008809708,43.651378,-96.199683
62284,AL-CORN CLEAN FUEL,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000594642,44.049412,-93.017379
57884,WONDRA PIT,7,,http://echo.epa.gov/detailed-facility-report?fid=110012667701,43.905682,-93.195972
7786,STEEN WWTP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110068623467,43.50797,-96.252705
3897,IT SANDS LLC,6,,http://echo.epa.gov/detailed-facility-report?fid=110055634611,43.85719,-92.49017
4535,MOUNTAIN LAKE WWTP,6,,http://echo.epa.gov/detailed-facility-report?fid=110070355446,43.94096,-94.9226
6862,JORDAN SANDS LLC,6,,http://echo.epa.gov/detailed-facility-report?fid=110063018577,44.17472100000001,-93.99756
55631,AUSTIN WWTP,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110039737381,43.6556,-92.9736
61271,CALEDONIA WWTP,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110008817281,43.63181,-91.50289
42325,LE SUEUR WWTF,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064625277,44.4758,-93.90323
27153,LANESBORO WWTP,5,,http://echo.epa.gov/detailed-facility-report?fid=110008816601,43.721997,-91.972306
41216,RUSHFORD WWTP,5,,http://echo.epa.gov/detailed-facility-report?fid=110006739020,43.80579,-91.75036
58928,HARTLAND WASTEWATER TREATMENT PLANT,5,,http://echo.epa.gov/detailed-facility-report?fid=110008814532,43.80818,-93.47905
15310,POET BIOREFINING LAKE CRYSTAL,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018853409,44.100799,-94.275835
3575,ALPHA WTP,4,,http://echo.epa.gov/detailed-facility-report?fid=110033631513,43.638068,-94.87101
4211,ALDEN WWTP,4,,http://echo.epa.gov/detailed-facility-report?fid=110067835588,43.66531,-93.58836
7676,MDNR CRYSTAL SPRINGS STATE FISH HATCHERY,4,,http://echo.epa.gov/detailed-facility-report?fid=110006739431,44.076667,-91.987167
24594,BRICELYN WWTP,4,,http://echo.epa.gov/detailed-facility-report?fid=110067742544,43.562075,-93.812579
