,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
43360,FOSTERS CLEANERS,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110069283180,39.242457,-94.441453
7938,SMITHS AUTO SALES,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003990904,36.458173,-89.91928
8480,"HAZMAT, INC.",12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000614942,39.058139,-94.51075
24687,WORLDS OF FUN,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070540838,39.177726,-94.486658
35060,MU RESOURCE RECOVERY CENTER,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000868428,38.936328,-92.315017
126,FOUR STAR FINISHING CO INC-FOUR STAR FINISHING CO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110012471155,38.60417,-90.20497
283,MAACO PAINTING & AUTO,12,,http://echo.epa.gov/detailed-facility-report?fid=110018010597,38.6112,-90.27365
734,"MANAC TRAILERS USA, INC.",12,,http://echo.epa.gov/detailed-facility-report?fid=110003957415,37.09085,-89.64931999999997
1194,DIP N STRIP,12,,http://echo.epa.gov/detailed-facility-report?fid=110003937349,38.78892000000001,-90.47871
1740,AMERENUE - DORSETT FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110002440895,38.71453,-90.4416
2747,MISSOURI DRY DOCK & REPAIR CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110022301203,37.29375,-89.52244
2894,SOLVENT RECOVERY CORP-KANSAS CITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110008059144,39.10585,-94.59963
3002,MUNGENAST COLLISION CENTERS,12,,http://echo.epa.gov/detailed-facility-report?fid=110070121398,38.52225,-90.36157
3202,SAINT LOUIS ZOOLOGICAL PARK,12,,http://echo.epa.gov/detailed-facility-report?fid=110042287290,38.633541,-90.29098
3275,PERMEA INC-DIV OF AIR PRODUCTS AND CHEMICALS,12,,http://echo.epa.gov/detailed-facility-report?fid=110000500529,38.69751,-90.42167
3333,CVS PHARMACY # 8596,12,,http://echo.epa.gov/detailed-facility-report?fid=110040048971,39.36734000000001,-94.3619
3779,TPS OPERATIONS DBA THE PRINTING SOURCE,12,,http://echo.epa.gov/detailed-facility-report?fid=110031333304,38.70512,-90.42316
4683,"UFP HARRISONVILLE, LLC",12,,http://echo.epa.gov/detailed-facility-report?fid=110000443743,38.637,-94.3673
4702,SSM HEALTH ST JOSEPH HOSPITAL WENTZVILLE,12,,http://echo.epa.gov/detailed-facility-report?fid=110044978664,38.82176,-90.87978
4810,EATON,12,,http://echo.epa.gov/detailed-facility-report?fid=110000440103,38.587623,-90.600342
