,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
9807,CALUMET MONTANA REFINING,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000428500,47.523611,-111.294167
579,CHS INC  LAUREL REFINERY,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000595124,45.65922,-108.76778
5237,YELLOWSTONE ENERGY POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110001474164,45.811201,-108.428833
15238,PLUM CREEK MDF INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000428644,48.37339,-114.19732
15037,WESTERN SUGAR COMPANY,11,,http://echo.epa.gov/detailed-facility-report?fid=110000428485,45.76981,-108.49823
11403,MONTANA SILVERSMITHS INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110011675106,45.63116,-109.26356
6454,CONOCOPHILLIPS BILLINGS REFINERY,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043806085,45.776389,-108.484444
648,BILLINGS TRANSPORTATION OPERATIONS,2,,http://echo.epa.gov/detailed-facility-report?fid=110037609442,45.783734,-108.494885
6065,EXXONMOBIL - BILLINGS REFINERY,2,,http://echo.epa.gov/detailed-facility-report?fid=110000428421,45.813904,-108.433295
12497,PLUM CREEK MFG. L.P.,1,,http://echo.epa.gov/detailed-facility-report?fid=110000428626,48.23014000000001,-114.28748
13399,HOLCIM TRIDENT CEMENT PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110001473815,45.944769,-111.477076
14113,ROCKY MOUNTAIN POWER - HARDIN GENERATING STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110038363623,45.764338,-107.599558
13266,ROSEBURG FOREST PRODUCTS - MISSOULA PARTICLEBOARD,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000428582,46.8982,-114.02779
6,CHS INC.,0,,http://echo.epa.gov/detailed-facility-report?fid=110001092923,47.09789,-104.75827
320,AIR CONTROLS CO.,0,,http://echo.epa.gov/detailed-facility-report?fid=110039624243,45.78716,-108.49788999999998
620,STEEL ETC,0,,http://echo.epa.gov/detailed-facility-report?fid=110040441288,47.52131,-111.22166
770,CITY OF BILLINGS REGIONAL LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110013946766,45.722949,-108.543015
821,PACIFIC RECYCLING,0,,http://echo.epa.gov/detailed-facility-report?fid=110011048758,45.79649000000001,-108.48378
932,MONTANA AIR NATIONAL GUARD,0,,http://echo.epa.gov/detailed-facility-report?fid=110001474556,47.474874,-111.362151
1284,CONOCO PRODUCTS TERMINAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110000595188,46.602674,-112.088917
