,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
504,JIM'S BODY WORKS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975401,48.55594,-113.018345
1572,GRASS WINDS VETERINARY CLINIC,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975447,48.36,-112.44
2902,HOYT'S TOWING,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975410,48.33,-113.01
3249,TIMBERLANE AUTO,12,,http://echo.epa.gov/detailed-facility-report?fid=110012348511,47.51514,-114.09479
3391,NAPA AUTO PARTS,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975474,48.55279,-113.00987
3538,GLACIER COUNTY ROAD SHOP,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975394,48.61796,-112.35923
6539,SINCLAIR GLASS & AUTO,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975508,48.53469000000001,-113.01233
8465,POLSON AUTO SALVAGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110006068389,47.645307,-114.11347
9297,NEALS WRECKING,12,,http://echo.epa.gov/detailed-facility-report?fid=110040684872,47.51232,-114.19651
10174,HARVEY OST OILFIELD SERVICES,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975330,48.40688400000001,-105.999987
12106,RONAN AUTO BODY,12,,http://echo.epa.gov/detailed-facility-report?fid=110011049383,47.530782,-114.097231
12898,BIA ROADS MAINTENANCE SHOP,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975429,48.56134,-113.01278
14887,JORE CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110006068370,47.502213,-114.096899
14895,IHS BLACKFEET COMMUNITY HOSPITAL,12,,http://echo.epa.gov/detailed-facility-report?fid=110066975438,48.5659,-113.01906
15367,HIGH PLAINS MOTORS,12,,http://echo.epa.gov/detailed-facility-report?fid=110021323405,48.090944,-105.642833
18054,SMITH'S AUTO SALVAGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110018938676,47.45709,-114.09688
18233,BNSF RAILWAY COMPANY LIVINGSTON,12,,http://echo.epa.gov/detailed-facility-report?fid=110064264335,45.67238,-110.54701
18335,PHILLIP BURLAND RESIDENCE,12,,http://echo.epa.gov/detailed-facility-report?fid=110046441720,47.68546,-114.14386
13465,ALBERTON HIGH SCHOOL,10,,http://echo.epa.gov/detailed-facility-report?fid=110069376482,47.004007,-114.481387
4662,UNIVERSITY OF PROVIDENCE,9,,http://echo.epa.gov/detailed-facility-report?fid=110020298916,47.48977,-111.27306000000002
