REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110041031558,SOUTHERN CONCRETE - STATE ST.,13,,http://echo.epa.gov/detailed-facility-report?fid=110041031558,35.239737,-80.870317
110064322558,HILLTOP LIVING CENTER WWTP,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110064322558,35.7275,-80.38320999999999
110009842439,CHARLOTTE DOUGLAS INTL AIRPORT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009842439,35.229037,-80.941949
110000836212,COLONIAL PIPELINE COMPANY,11,,http://echo.epa.gov/detailed-facility-report?fid=110000836212,36.07143,-79.94447
110070048003,DIMENSIONAL PLACE,11,,http://echo.epa.gov/detailed-facility-report?fid=110070048003,35.21586,-80.85689
110009296207,TRANSMONTAIGNE - GREENSBORO TERMINAL,10,,http://echo.epa.gov/detailed-facility-report?fid=110009296207,36.076059,-79.92266500000001
110006368117,CITY OF HIGH POINT,10,,http://echo.epa.gov/detailed-facility-report?fid=110006368117,35.937671,-80.10951700000001
110043161547,R.A. THOMAS WTP,9,,http://echo.epa.gov/detailed-facility-report?fid=110043161547,36.08786,-80.22171
110009845178,LINWOOD YARD,9,,http://echo.epa.gov/detailed-facility-report?fid=110009845178,35.731389,-80.344444
110016757437,LAKE TOWNSEND WTP,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110016757437,36.179103000000005,-79.731102
110009844829,WILLOW CREEK WWTP,8,,http://echo.epa.gov/detailed-facility-report?fid=110009844829,35.967915000000005,-80.10032199999999
110013395165,READY  MIXED CONCRETE COMPANY,7,,http://echo.epa.gov/detailed-facility-report?fid=110013395165,35.127959999999995,-80.88714
110055102927,CHURCH STREET REMEDIATION SITE,7,,http://echo.epa.gov/detailed-facility-report?fid=110055102927,35.244479999999996,-80.82278000000001
110001479775,CONCRETE SUPPLY (NORTH),7,,http://echo.epa.gov/detailed-facility-report?fid=110001479775,35.253009999999996,-80.79763
110012339987,ASSOCIATED ASPHALT GREENSBORO LLC,7,,http://echo.epa.gov/detailed-facility-report?fid=110012339987,36.075477,-79.920317
110006707518,"CONCORD, CITY OF",6,,http://echo.epa.gov/detailed-facility-report?fid=110006707518,35.43739,-80.69211999999999
110018776537,PLANTATION PIPE LINE COMPANY,6,,http://echo.epa.gov/detailed-facility-report?fid=110018776537,36.076266,-79.92783299999999
110009719313,MAGELLAN TERMINAL HOLDINGS GREENSBORO II,6,,http://echo.epa.gov/detailed-facility-report?fid=110009719313,36.08035,-79.93318000000001
110000345323,KABA ACCESS CONTROL,6,,http://echo.epa.gov/detailed-facility-report?fid=110000345323,36.12829,-80.23850999999999
110006710032,KNOLLWOOD ELEM SCHOOL,6,,http://echo.epa.gov/detailed-facility-report?fid=110006710032,35.614909999999995,-80.57276999999999
