,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
15993,ANSON COUNTY WTP,13,16.0,http://echo.epa.gov/detailed-facility-report?fid=110009842830,34.970833,-79.931944
23516,CITY OF ALBEMARLE,13,11.0,http://echo.epa.gov/detailed-facility-report?fid=110000560982,35.335592,-80.213516
13954,DENTON WWTP,13,9.0,http://echo.epa.gov/detailed-facility-report?fid=110009845463,35.620938,-80.129471
23293,ALCOA - BADIN WORKS,13,7.0,http://echo.epa.gov/detailed-facility-report?fid=110017425614,35.4155,-80.11825999999998
27721,RICHMOND PLANT,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001480861,34.916031,-79.824463
13707,CROOKED CREEK WWTP #2,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006674517,35.068753,-80.633831
25452,CITY OF THOMASVILLE,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006644364,35.858032,-80.10423399999998
968,HILDRETH REDI-MIX AND SEPTIC SERVICES,13,,http://echo.epa.gov/detailed-facility-report?fid=110043968613,34.8416,-80.0991
18058,"VON DREHLE CORDOVA, LLC",13,,http://echo.epa.gov/detailed-facility-report?fid=110001487819,34.9194,-79.8291
38386,HILDRETH READY MIX #2,13,,http://echo.epa.gov/detailed-facility-report?fid=110031469300,34.95521,-79.80256999999997
25802,ST. PAULS WWTP,12,19.0,http://echo.epa.gov/detailed-facility-report?fid=110006711022,34.798293,-78.969142
1612,GRASSY BRANCH WWTP,12,9.0,http://echo.epa.gov/detailed-facility-report?fid=110009720506,35.130556,-80.494444
22549,ANSONVILLE WWTP,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110006707661,35.115449,-80.07038100000003
8926,CITY OF HAMLET,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110006367458,34.855388,-79.724998
17277,CITY OF LUMBERTON,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110006522904,34.604568,-78.99126
20832,CITY OF LAURINBURG,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110006644186,34.763953,-79.447066
24798,ROCKINGHAM CITY WASTER WATER TREATMENT PLANT,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006644337,34.923539,-79.797344
11914,TUCKERTOWN WTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009842947,35.494444,-80.193056
20048,TOWN OF FAIRMONT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040034245,34.49154,-79.10558499999998
29987,"DUKE ENERGY CAROLINAS, LLC - BUCK COMBINED CYCLE FACILITY",12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001978334,35.7133,-80.3767
