,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
10346,MANCHESTER WASTEWATER TREATMENT FACILITY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002320809,42.94447,-71.45794000000002
3218,"REDIMIX COMPANIES, INC. - MANCHESTER",13,,http://echo.epa.gov/detailed-facility-report?fid=110009002006,42.97603,-71.46153000000002
22746,NEW HAMPTON TROUT HATCHERY,13,,http://echo.epa.gov/detailed-facility-report?fid=110011033112,43.60204,-71.6373
23063,WHITEFIELD WASTEWATER TREATMENT FACILITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009839979,44.376294,-71.622598
21084,MILFORD FISH HATCHERY,12,,http://echo.epa.gov/detailed-facility-report?fid=110012804803,42.852833,-71.692295
21665,"NHNY MARINA DEVELOPMENT, LLC D/B/A RIVEREDGE MARINA",12,,http://echo.epa.gov/detailed-facility-report?fid=110064782757,43.717424,-71.618992
24201,SEABROOK NUCLEAR GENERATING STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110001123061,42.898333,-70.84944399999998
25140,"TOWN OF AMHERST, TRANSFER STATION",12,,http://echo.epa.gov/detailed-facility-report?fid=110066871978,42.891024,-71.610084
226,NOVEL IRON WORKS INCORPORATED,11,,http://echo.epa.gov/detailed-facility-report?fid=110000581335,43.03942,-70.81326
382,FRASER PULP MILL (FORMER ),11,,http://echo.epa.gov/detailed-facility-report?fid=110007681632,44.471944,-71.169444
580,MANCHESTER - BOSTON REGIONAL AIRPORT,11,,http://echo.epa.gov/detailed-facility-report?fid=110024244575,42.9283,-71.45107
1787,EMD MILLIPORE CORP,11,,http://echo.epa.gov/detailed-facility-report?fid=110000313848,42.799373,-71.985188
2086,"BOW AUTO PARTS, INC.",11,,http://echo.epa.gov/detailed-facility-report?fid=110067031027,43.1347,-71.48708
2336,FLIGHT ONE OWNERS ASSOCIATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110064864776,42.92468,-71.43429
2460,TAMWORTH TRANSFER STATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110064863571,43.825147,-71.25165799999998
2728,PSNH - SCHILLER STATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110000602991,43.09726,-70.783801
3064,NEWINGTON OPERATIONS,11,,http://echo.epa.gov/detailed-facility-report?fid=110067018480,43.10174,-70.80253
3520,HENKEL CORPORATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110054890258,42.88414,-70.88672
3606,DURGIN & CROWELL LUMBER,11,,http://echo.epa.gov/detailed-facility-report?fid=110012472779,43.445381,-72.050578
4672,PSNH MERRIMACK GENERATING STATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110000313802,43.140833,-71.46777800000002
