,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
20740,OLD DUTCH MUSTARD PILGRIM FOODS PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007131950,42.775249,-71.811923
21463,INFINITY AVIATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110004105995,42.78084000000001,-71.52058000000002
20482,"TRADEBE TREAETMENT AND RECYCLING NORTHEAST, LLC",10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000800991,43.114439,-70.818522
16634,COLT RECYCLING,9,,http://echo.epa.gov/detailed-facility-report?fid=110038888264,42.73314,-71.4304
94,"MASIMO SEMICONDUCTOR, INC.",5,,http://echo.epa.gov/detailed-facility-report?fid=110001523557,42.72775,-71.43054000000002
19978,DANVILLE AUTO BODY,5,,http://echo.epa.gov/detailed-facility-report?fid=110041638868,42.90605,-71.12291
1803,MORGAN ADVANCED CERAMICS INC,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110004116661,42.78213,-71.38215
21483,SANMINA CORP,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110004093640,42.93523,-71.42323
24271,CONCORD LITHO GROUP INC,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000313768,43.20103,-71.51639
1387,BAE SYSTEMS INFORMATION & ELECTRONIC SYSTEMS,4,,http://echo.epa.gov/detailed-facility-report?fid=110000885579,42.76387,-71.45782
3073,SIG SAUER INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110004105940,43.087945,-70.811239
8858,MICROFAB INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110009451896,42.963011,-71.404701
11293,TIMKEN AEROSPACE,4,,http://echo.epa.gov/detailed-facility-report?fid=110000313955,43.638521,-72.285855
19451,SPARTON BECKWOOD,4,,http://echo.epa.gov/detailed-facility-report?fid=110004092632,42.84382,-71.08798
6344,HYPERTHERM INC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001123052,43.6823,-72.2353
24515,WYMAN-GORDON INVESTMENT CASTINGS INC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000562542,43.42090200000001,-71.65627099999998
1258,NATIONAL APERTURE,3,,http://echo.epa.gov/detailed-facility-report?fid=110004098841,42.77446,-71.26079
9758,LABSPHERE INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110007691603,43.369848,-71.928791
11884,MPB CORP (DBA TIMKEN AEROSPACE),3,,http://echo.epa.gov/detailed-facility-report?fid=110067041329,42.92036,-72.263
12190,PIKE INDUSTRIES INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110007132806,43.452222,-71.557222
