,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
23063,WHITEFIELD WASTEWATER TREATMENT FACILITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009839979,44.376294,-71.622598
21084,MILFORD FISH HATCHERY,12,,http://echo.epa.gov/detailed-facility-report?fid=110012804803,42.852833,-71.692295
21665,"NHNY MARINA DEVELOPMENT, LLC D/B/A RIVEREDGE MARINA",12,,http://echo.epa.gov/detailed-facility-report?fid=110064782757,43.717424,-71.618992
25140,"TOWN OF AMHERST, TRANSFER STATION",12,,http://echo.epa.gov/detailed-facility-report?fid=110066871978,42.891024,-71.610084
382,FRASER PULP MILL (FORMER ),11,,http://echo.epa.gov/detailed-facility-report?fid=110007681632,44.471944,-71.169444
1787,EMD MILLIPORE CORP,11,,http://echo.epa.gov/detailed-facility-report?fid=110000313848,42.799373,-71.985188
2086,"BOW AUTO PARTS, INC.",11,,http://echo.epa.gov/detailed-facility-report?fid=110067031027,43.1347,-71.48708
3606,DURGIN & CROWELL LUMBER,11,,http://echo.epa.gov/detailed-facility-report?fid=110012472779,43.445381,-72.050578
4672,PSNH MERRIMACK GENERATING STATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110000313802,43.140833,-71.46777800000002
6176,STURM RUGER FIREARMS MANUFACTURING FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110000313964,43.379828,-72.152415
7128,ALLENSTOWN TRANSFER STATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110064875826,43.13075,-71.42694
11274,"KING FOREST INDUSTRIES, INC.",11,,http://echo.epa.gov/detailed-facility-report?fid=110012147809,43.86792,-71.909037
11409,PRECISION LUMBER INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110022906621,43.8346,-71.883399
14409,LEBANON WASTEWATER TREATMENT FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110002320783,43.636805,-72.320541
16384,RUMNEY MILL,11,,http://echo.epa.gov/detailed-facility-report?fid=110070002234,43.817467,-71.888376
17306,AMPHENOL APC INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110028155332,42.738005,-71.48981500000002
18028,FOUR HILLS LANDFILL GAS SYSTEM,11,,http://echo.epa.gov/detailed-facility-report?fid=110001523405,42.731563,-71.520521
18198,TROY WASTEWATER TREATMENT FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110009839817,42.835252,-72.178076
19367,BOIRE FIELD,11,,http://echo.epa.gov/detailed-facility-report?fid=110066901464,42.78001,-71.51915
23698,WEBSTER VALVE,11,,http://echo.epa.gov/detailed-facility-report?fid=110000313697,43.42499,-71.65416
