,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
9436,8TH STREET BRIDGE OVER PASSAIC RIVER,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070222208,40.859012,-74.122045
55320,KASZUBA & SONS AUTO RECYCLING,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031826139,39.5938,-74.45593000000002
61585,ZAGER BROTHERS CORP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110014766958,40.90326,-74.16444
2307,GEORGE SALVAGE CO INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110009834947,41.065368,-74.746238
3112,EASTERN CONCRETE MATERIALS INC BROADWAY,13,,http://echo.epa.gov/detailed-facility-report?fid=110024782591,40.73843,-74.07994000000002
8532,MYERS TRUCKING T/A MYERS AUTO,13,,http://echo.epa.gov/detailed-facility-report?fid=110012304899,39.71455,-74.81704
10875,KLEIN RECYCLING,13,,http://echo.epa.gov/detailed-facility-report?fid=110061438519,40.535999,-74.607158
11030,QUARRY STONE MFG INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070220732,40.634548,-74.952022
13044,SOUTH JERSEY TRUCK AUTO SALVAGE LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070211814,39.55452,-74.68464
13065,ST HILLS AUTO PARTS,13,,http://echo.epa.gov/detailed-facility-report?fid=110022426962,39.928279,-75.12524
16357,BRICK RECYCLING WALL FAC,13,,http://echo.epa.gov/detailed-facility-report?fid=110056047521,40.191262,-74.184996
18916,NAVARROS BAYWAY SCRAP METALS,13,,http://echo.epa.gov/detailed-facility-report?fid=110046507767,40.638463,-74.201552
22178,ANCHOR CONCRETE PRODUCTS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110070215424,40.209773,-74.189814
22644,R E PIERSON CONSTRUCTION CO CARNEYS POINT PLT,13,,http://echo.epa.gov/detailed-facility-report?fid=110070211507,39.70424600000001,-75.47227099999998
23392,"GRINNELL CONCRETE PAVINGSTONES, INC.",13,,http://echo.epa.gov/detailed-facility-report?fid=110057326807,41.07872,-74.64307
24267,APPALOOSA IRON & METAL,13,,http://echo.epa.gov/detailed-facility-report?fid=110070216761,39.556319,-74.695091
29790,PRECAST MFG CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110070217082,40.6959,-75.15079
29879,"TRANSFORMATION ENTERPRISES, INC.",13,,http://echo.epa.gov/detailed-facility-report?fid=110070217791,39.53238,-74.656349
30860,H&H AUTO WRECKERS,13,,http://echo.epa.gov/detailed-facility-report?fid=110012304979,40.373921,-74.27620999999998
43333,MORRIS ASPHALT CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110032582989,41.10532,-74.70116999999998
