,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3805,FOUR CORNERS STEAM ELECTRIC STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110042068473,36.68881,-108.48036
15456,WHITE ROCK COMPRESSOR STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110007978377,36.23164000000001,-108.3114
19439,WESTERN REFINING-SOUTHWEST (GALLUP REFINERY),12,,http://echo.epa.gov/detailed-facility-report?fid=110011031052,35.490278,-108.425
5668,ALBUQUERQUE CITY OF SOUTHSIDE WATER RECLAMATION PLANT,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000567075,35.0177,-106.6661
4821,MONUMENT BOOSTER STATION,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110022778644,32.623000000000005,-103.2558
7972,SAN JUAN RIVER GAS PLANT,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000562720,36.7592,-108.35967
13514,FRONTIER - COYOTE COMPRESSOR STATION,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055619022,32.789445,-104.159445
927,JAL 3 GAS PLANT,2,9.0,http://echo.epa.gov/detailed-facility-report?fid=110055500006,32.1742,-103.1741
7706,ZIA II GAS PLANT,2,5.0,http://echo.epa.gov/detailed-facility-report?fid=110056438083,32.643021999999995,-103.808867
6049,DCP MIDSTREAM - EUNICE GAS PLANT,2,4.0,http://echo.epa.gov/detailed-facility-report?fid=110055499991,32.513706,-103.281527
2902,LYNCH BOOSTER STATION,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110007020801,32.56583,-103.53862
648,TARGA - EUNICE GAS PROCESSING PLANT,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110007014337,32.424944,-103.14725
12671,LINAM RANCH PLANT,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010775492,32.693927,-103.286225
10345,SOUTH EDDY CRYO PLANT,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069565544,32.161289000000004,-103.828358
16711,TARGA - MONUMENT GAS PLANT,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007018262,32.610278,-103.311944
941,NASH DRAW COMPRESSOR STATION,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110022750619,32.3064,-103.9317
1540,ENTERPRISE PRODUCTS - CHAPARRAL GAS PLANT,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110032929375,32.654183,-103.89487
10374,FITZ COMPRESSOR STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007021034,32.61681,-104.05905
13748,SAUNDERS GAS PLANT,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007974905,33.057289000000004,-103.60981
19004,ARTESIA GAS PLANT,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043804096,32.75676,-104.21012
