,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
19388,US DOD USAF KIRTLAND AIR FORCE BASE,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001546444,35.10366,-106.55071
12420,NEW MEXICO STATE UNIVERSITY CAMPUS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110042056404,32.285915,-106.725929
17371,"MESA OIL, INC.",12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004269238,34.598440000000004,-106.732
19439,WESTERN REFINING-SOUTHWEST (GALLUP REFINERY),12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011031052,35.490278,-108.425
5961,CTS WIRELESS COMPONENTS,12,,http://echo.epa.gov/detailed-facility-report?fid=110000472426,35.18445999999999,-106.593017
15130,NEW MEXICO VETERANS AFFAIRS HEALTH CARE,12,,http://echo.epa.gov/detailed-facility-report?fid=110064183618,35.05809,-106.58614
16367,CLARIANT CORPORATION BELEN,12,,http://echo.epa.gov/detailed-facility-report?fid=110012221559,34.60219,-106.73125
18073,LOS ALAMOS NATIONAL LABORATORY,10,8.0,http://echo.epa.gov/detailed-facility-report?fid=110010571880,35.873967,-106.3195
16054,RINCHEM CO INC,10,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000565807,35.144544,-106.627505
15637,"GANDY MARLEY, INC.",10,,http://echo.epa.gov/detailed-facility-report?fid=110070433058,33.390142,-103.712407
10512,BROTHERS PLATING CO,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000837514,35.15855,-106.63745
15431,HOLLOMAN AIR FORCE BASE,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110042049253,32.845556,-106.0825
4111,FORT WINGATE DEPOT ACTIVITY,7,,http://echo.epa.gov/detailed-facility-report?fid=110001141345,35.47281599999999,-108.600449
11092,MEGA CORPORATION,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004272108,35.150678000000006,-106.616916
11359,CUMMINS BURNER FUEL,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007977083,36.753028,-107.979292
16278,KACHINA PETROLEUM EQUIPMENT COMPANY,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022782951,35.06991,-106.54094
364,SANTA FE RADIATOR SHOP,5,,http://echo.epa.gov/detailed-facility-report?fid=110032641559,35.66378,-105.99799
8451,INDEPENDENT RADIATOR SERVICE CORP,5,,http://echo.epa.gov/detailed-facility-report?fid=110031348085,35.1033,-106.66261000000002
15543,THREE SAINTS STREET-KINDER MORGAN,5,,http://echo.epa.gov/detailed-facility-report?fid=110070511756,32.026472,-106.630645
20270,JAYNES CORPORATION,5,,http://echo.epa.gov/detailed-facility-report?fid=110004279432,35.11278,-106.63859
