,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3805,FOUR CORNERS STEAM ELECTRIC STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110042068473,36.68881,-108.48036
15456,WHITE ROCK COMPRESSOR STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110007978377,36.23164000000001,-108.3114
19439,WESTERN REFINING-SOUTHWEST (GALLUP REFINERY),12,,http://echo.epa.gov/detailed-facility-report?fid=110011031052,35.490278,-108.425
7972,SAN JUAN RIVER GAS PLANT,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000562720,36.7592,-108.35967
3951,LYBROOK PUMP STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110022759353,36.23244,-107.54535
4305,DTT SAND & GRAVEL INC - CRUSHING & SCREENING PLANT NO1 GCP2-3541,1,,http://echo.epa.gov/detailed-facility-report?fid=110029528394,36.013333,-106.09778
2587,SAN JUAN BASIN GAS PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007030275,36.732833,-107.976889
4948,DAIRY FARMERS OF AMERICA,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000472587,34.170552,-103.36991
6721,ROCKY ROAD - GRAVEL PRODUCTS GCP2-4140,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040828959,35.690737,-105.15755
7047,HUERFANO MOUNTAIN COMPRESSOR STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022758728,36.433028,-107.91192
8800,CHACO GAS PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010572120,36.483056,-108.121748
13176,WESTERN REFINING - WINGATE FACILITY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022697312,35.535556,-108.643139
15576,BLANCO COMPRESSOR C & D STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022710985,36.7325,-107.961667
19588,LA JARA COMPRESSOR STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007017860,36.817222,-107.492222
64,RON'S AUTO LUBE,0,,http://echo.epa.gov/detailed-facility-report?fid=110021036350,35.65837,-105.99281
71,DUKE CITY REDI MIX CBP GCP5-4212,0,,http://echo.epa.gov/detailed-facility-report?fid=110041347824,35.261167,-106.63161
116,SIMS MESA COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110014060988,36.80472,-107.54939
127,STATE COM NO12 COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110007010661,36.978611,-107.819722
133,OIL STORAGE,0,,http://echo.epa.gov/detailed-facility-report?fid=110007011036,36.400556,-107.192222
150,FORM-COVE PANEL SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110022734601,35.25774000000001,-106.63738
