,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
19439,WESTERN REFINING-SOUTHWEST (GALLUP REFINERY),12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011031052,35.490278,-108.425
18073,LOS ALAMOS NATIONAL LABORATORY,10,8.0,http://echo.epa.gov/detailed-facility-report?fid=110010571880,35.873967,-106.3195
4111,FORT WINGATE DEPOT ACTIVITY,7,,http://echo.epa.gov/detailed-facility-report?fid=110001141345,35.47281599999999,-108.600449
11359,CUMMINS BURNER FUEL,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007977083,36.753028,-107.979292
364,SANTA FE RADIATOR SHOP,5,,http://echo.epa.gov/detailed-facility-report?fid=110032641559,35.66378,-105.99799
5900,RILEY INDUSTRIAL SERVICES INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110022772052,36.73988,-108.171403
20114,PACHECO CONSTRUCTION AND TRUCKING,4,,http://echo.epa.gov/detailed-facility-report?fid=110070680940,35.17202,-103.65456
4502,SANDOVAL REGIONAL MEDICAL CENTER,3,,http://echo.epa.gov/detailed-facility-report?fid=110045984057,35.30723,-106.67697
17840,HONSTEIN OIL COMPANY,3,,http://echo.epa.gov/detailed-facility-report?fid=110031387023,35.631552,-106.074773
19549,ST VINCENT HOSPITAL,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004272448,35.65750300000001,-105.94603
1335,SAN JUAN REGIONAL MED. CENTER,2,,http://echo.epa.gov/detailed-facility-report?fid=110022673338,36.72432,-108.2157
5687,WOODGROUP USA,2,,http://echo.epa.gov/detailed-facility-report?fid=110057075025,36.73602,-107.97889
5959,SANTA FE BMW,2,,http://echo.epa.gov/detailed-facility-report?fid=110070206743,35.63189000000001,-106.02282
7020,THE PRINT WORKS,2,,http://echo.epa.gov/detailed-facility-report?fid=110031386916,36.000575,-106.087984
7416,PAUL DAVIS RESTORATION & REMODELING OF NORTHERN NEW MEXICO,2,,http://echo.epa.gov/detailed-facility-report?fid=110004283276,35.59707,-106.04055
9378,HALLIBURTON ENERGY SERVICES 2,2,,http://echo.epa.gov/detailed-facility-report?fid=110001548193,36.75819,-108.15599
10211,AQUATIC POOLS INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110024557380,35.2602,-106.63137
10964,US DOD USAF CANNON AFB,2,,http://echo.epa.gov/detailed-facility-report?fid=110042049262,34.400077,-103.326341
11120,"DAVID H. FELL & CO., INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110004276729,35.267,-106.63097
13964,ESPANOLA POINT S TIRE AND AUTO SERVICE,2,,http://echo.epa.gov/detailed-facility-report?fid=110070559617,36.00083,-106.0629
