,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
5690,BLUE DIAMOND HILL GYPSUM,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110070205366,36.046397,-115.40521499999998
1113,"DYNO NOBEL, INC. - BATTLE MOUNTAIN PLANT",12,,http://echo.epa.gov/detailed-facility-report?fid=110000601091,40.69,-116.868056
2882,NEVADA CEMENT CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110000918179,39.61984,-119.262175
5115,LANCE GILMAN (MUSTANG RANCH),12,,http://echo.epa.gov/detailed-facility-report?fid=110062733699,39.507483,-119.64498600000002
860,CAESARS ENTERTAINMENT OPERATING COMPANY,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064340075,36.11736,-115.17368
7080,TITANIUM METALS CORPORATION,6,4.0,http://echo.epa.gov/detailed-facility-report?fid=110046475881,36.039596,-114.993621
394,REPUBLIC SERVICES RENEWABLE ENERGY LLC,6,3.0,http://echo.epa.gov/detailed-facility-report?fid=110063896574,35.944001,-115.180914
6850,CERTAIN TEED GYPSUM LAS VEGAS PLANT,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110037898460,36.0489,-115.38461
7224,NELLIS AFB,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022861704,36.252072,-115.024837
9390,CLARK GENERATING STATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110004307027,36.0879,-115.0494
797,NEVADA READY MIX,3,4.0,http://echo.epa.gov/detailed-facility-report?fid=110006825329,36.17723,-115.15022
10727,CHEMICAL LIME CO APEX PLANT,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110004288299,36.204003,-115.129625
3378,WELLS CARGO INC,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110064275298,36.126389,-115.24638799999998
4179,ROBERTSON'S READY MIX (FORMERLY KNOWN AS SERVICE ROCK PRODUCTS),2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070255968,36.107901,-115.150511
5936,AGGREGATE INDUSTRIES,1,3.0,http://echo.epa.gov/detailed-facility-report?fid=110006533028,36.26185,-115.650535
1653,WELLS CARGO LONE MOUNTAIN PLANT,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070255732,36.08515,-115.29147
3713,SIMPLOT SILICA,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006821699,36.51476,-114.42722
5898,SIERRA PACIFIC POWER CO NORTH VALMY STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000495508,40.8816,-117.1521
7006,LAS VEGAS PAVING-LONE MOUNTAIN FACILITY,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010315293,36.24792,-115.31298
503,TRONOX LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017404067,36.0437,-114.9995
