,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
20105,NYC-HA EDENWALD HOUSES,2,,http://echo.epa.gov/detailed-facility-report?fid=110013744430,40.88542,-73.84489
15730,CENTURY TOWER ASSOCIATES NY LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040829976,40.87899,-73.91521
135564,UNITEX,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038457050,40.909081,-73.85191999999998
596,KINGS ELECTRONICS CO. INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000322918,40.95093,-73.82128
803,TOWN HOUSE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110019285904,40.86446,-73.82352
959,PELHAM GULF,0,,http://echo.epa.gov/detailed-facility-report?fid=110038043220,40.90823,-73.81130999999998
2923,HOSANNA CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002361346,40.89906,-73.86747
2954,2550 INDEPENDENCE AVENUE BUILDING,0,,http://echo.epa.gov/detailed-facility-report?fid=110040407119,40.8804,-73.91967
3999,EXPERT AUTO BODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110019117034,40.90256,-73.79083
4139,HASTINGS WOOD REFINISHING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110038457078,40.94548,-73.88156
4152,UNITEX TEXTILE RENTAL SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110019242693,40.909833,-73.849967
4386,DAMIAN CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004506133,40.93953,-73.89034000000002
4824,AL DRY CLEANER,0,,http://echo.epa.gov/detailed-facility-report?fid=110037601609,40.911604,-73.896005
5054,INSURANCE AUTOBODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110019771095,40.90923400000001,-73.824718
5573,SHELL OIL CC#138730,0,,http://echo.epa.gov/detailed-facility-report?fid=110038043177,40.9137,-73.85771
5645,GETTY STATION 58121,0,,http://echo.epa.gov/detailed-facility-report?fid=110019166668,40.94864000000001,-73.79335999999998
5743,600 WEST BOSTON SOUNDVIEW INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110043322348,40.94416,-73.73859
6204,PRESTIGE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110019640842,40.88572,-73.91031
6360,EASTCHESTER CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004384194,40.956195,-73.812776
6711,AUTO ELEGANCE,0,,http://echo.epa.gov/detailed-facility-report?fid=110019726073,40.908931,-73.791312
