,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
16787,NEW YORK METHODIST HOSPITAL,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000807789,40.66831,-73.97927
125586,BROOKLYN COLLEGE,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110019512099,40.63167,-73.95264
199,G & M CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110019122910,40.62854,-73.97636
643,DOMENICKS COLLISION,0,,http://echo.epa.gov/detailed-facility-report?fid=110019289161,40.63766,-73.92888
718,"MASTER WORKS I, LTD.",0,,http://echo.epa.gov/detailed-facility-report?fid=110019290293,40.63879,-73.929
1014,CONEY ISLAND WATER POLLUTION CONTROL PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110004332464,40.589682,-73.933184
1401,S D S CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110025320230,40.63659000000001,-73.96837
1864,VALUE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110019218728,40.602619,-73.9423
3012,MOBIL OIL-#17-F44,0,,http://echo.epa.gov/detailed-facility-report?fid=110010294804,40.61033,-73.96244
3199,377 MONTGOMERY ST BUILDING,0,,http://echo.epa.gov/detailed-facility-report?fid=110043282854,40.66546,-73.95204
3215,ISLAND SERVICE STA3-7313,0,,http://echo.epa.gov/detailed-facility-report?fid=110001573093,40.61023,-73.96242
4132,YOUR NEIGHBORHOOD CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110064206933,40.64173,-73.93581999999998
4661,HELEN'S CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110006816115,40.59636,-73.94109
4852,3902 CHURCH GAS STA INC-3902 CHURCH AVE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001571852,40.65122,-73.94076
5746,OCEAN AVENUE GAS CORP,0,,http://echo.epa.gov/detailed-facility-report?fid=110010294788,40.58777,-73.94923
6660,HAN'S DRY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004392853,40.66255,-73.9347
7292,3215 AVENUE H BUILDING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001613102,40.63178,-73.9454
7404,2626 HOMECREST AVE BLDG,0,,http://echo.epa.gov/detailed-facility-report?fid=110013669636,40.586957,-73.95699
7437,FAZIO BROTHERS AUTO INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110017761714,40.63711,-73.9342
7905,MERIT CONEY ISLAND,0,,http://echo.epa.gov/detailed-facility-report?fid=110001572646,40.63491,-73.96753000000002
